LCDM,Ursem,Li et al.,Cheng,Tilahun,Salleh et al.,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Zhao et al.,Osuna Enciso et al.
1.7545009017468729e-06,0.2872158218952134,0.2872158218952134,0.8587331512154641,0.28721582189521333,0.8587331512154641,480100.0,485169.0,0.8154723758098622,1.9793777777777777,336200970500372881300950409325198292387420679516853424129718707110783100723118762363861046013181095119415443661196600943535476376643456769029736356798793177270936,2.2277455111785225e-08
1.7388464711428776e-06,0.28717506510822993,0.28717506510822993,0.8756658628081455,0.28717506510822993,0.8756658628081455,479897.0,485171.0,0.8153631201107301,1.9785252525252526,332844874159744421388478201781409096636618342310939414314613764101154511598226776258071368191125015227932881811571888554821323086270666988497487421211931818117238,2.2161795555749918e-08
1.7376551601768898e-06,0.2871112714385531,0.2871112714385531,0.8664923721417349,0.28711127143855314,0.8664923721417349,479679.0,485217.0,0.8151628570428565,1.977648484848485,331677196960539481840306709442227407925614598810836299105593548690625591895706366702559425946982516332474679319703909843738266550142448045973181599262791142007164,2.2099778283799055e-08
1.7401489432791518e-06,0.28721254243784905,0.28721254243784905,0.8660175034867501,0.28721254243784905,0.8660175034867501,479441.0,485216.0,0.815464602543232,1.9766545454545457,331705371772099485605637149174698382850085525189038876819259226535208149461912698386011546971809763443752836773595972670209203827963496640485062936480162214003280,2.2564402182133202e-08
1.748337099197147e-06,0.28716965513996157,0.28716965513996157,0.871359655893456,0.2871696551399616,0.871359655893456,479091.0,485200.0,0.8153452467670081,1.9752282828282828,337271157307304171125966283514053345344907824879868627710119371039343105733821893138012568933244260904142008187920940003767662373374282389174211708219073023396870,2.2218054233424696e-08
1.7269734898603585e-06,0.28711013663379004,0.28711013663379004,0.8532341580756017,0.28711013663379004,0.8532341580756017,478723.0,485228.0,0.8151589561831186,1.9737090909090909,335212636951377288396397376588089002206169686135179291780002987879517600269566121471061996839112790358625878126885388244975040965996365537864758258171997449119934,2.2100806574020396e-08
1.7365071259387488e-06,0.2870177607761335,0.2870177607761335,0.8566413684515837,0.28701776077613356,0.8566413684515837,478539.0,485234.0,0.8149077769967438,1.972969696969697,337468557385781977783829382504928810474599012437207041203376080444216763028471609719779746757500303405323263657711758616266366979495509507642579926543097547823038,2.2331790786334742e-08
1.7317383253096019e-06,0.2869157959676734,0.2869157959676734,0.8654041172365665,0.2869157959676734,0.8654041172365665,477999.0,485268.0,0.8146175192619122,1.970759595959596,340002796892082449338837030630043844876878328483859607272847567503643019200385927382673115958040724582164537806038970069435484983399889068871069595950211849010126,2.1865885279219126e-08
1.7257517955655199e-06,0.2868096673658961,0.2868096673658961,0.8632857700239677,0.2868096673658961,0.8632857700239677,477540.0,485272.0,0.8143074855264149,1.9688686868686867,340567432409480729296278902529384359792894213654263880389470043005401637440300846401598143892096398206303453655051561773777855924143016056850093557305843753084114,2.2565001765010218e-08
1.7255924447852698e-06,0.28672465316404117,0.28672465316404117,0.8615644043743211,0.28672465316404117,0.8615644043743211,476995.0,485171.0,0.8140665072802709,1.9666343434343434,340521330437396898145909325729809182411862596551856219097258285521166861195069376081763829513650150868247451273413071496362996085878506038024606827576134588419240,2.233353525307353e-08
