LCDM,Ursem,Li et al.,Cheng,Tilahun,Salleh et al.,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Zhao et al.,Osuna Enciso et al.
6.091061002845514e-08,0.27792601678286916,0.27792601678286916,0.7263785030444732,0.2779260167828692,0.7263785030444732,445903.0,119076.0,0.7854995920631312,1.8380525252525255,352679753827110279224964828163732714447461409123838320215840905152572466525985050038080046934312387446298455155655630345722025864605622685215715114949284055495678,1.536107518926384e-08
5.6248414557967464e-08,0.28049459666469523,0.28049459666469523,0.7567793213479651,0.2804945966646952,0.7567793213479651,450893.0,122255.0,0.7914774203478276,1.8578141414141416,331002999882242609844963003773411036023137075697565448296255378073207951263761008664156329769362391065781978497689248171729487827970728420099631808632287732454324,1.3634180213270566e-08
6.608030778724557e-08,0.2805788136170522,0.2805788136170522,0.7688111344729868,0.2805788136170523,0.7688111344729868,452909.0,110219.0,0.7905251690625112,1.8662181818181818,302029380198721182216158834399364283022633343317168580978581209276648546597132745399174128689635631907444158376841931069198586775562018145314681641084329273737796,1.3515855573782632e-08
9.606353663700932e-08,0.2779961585484666,0.2779961585484666,0.7440300591327208,0.27799615854846654,0.7440300591327208,462633.0,116442.0,0.7844923528414305,1.9063555555555554,338645964484460933045054633094261831915813619257113350337405240134532312995499773396376198262733637609911959452969789507234446425281447806251589460510836193010540,1.3968869737764465e-08
1.1840886879112199e-07,0.2817068535223352,0.2817068535223352,0.7894201385217303,0.28170685352233515,0.7894201385217303,461569.0,112734.0,0.79404912581527,1.9021414141414141,354132647624678640923846449749972051578392182749736242954897676705545485357095322119718638103135587834501090977678496774544818366292625305315884889242562154372230,1.8727510868403244e-08
2.278591860901026e-08,0.28153689038938023,0.28153689038938023,0.7735784492410237,0.28153689038938023,0.7735784492410237,467336.0,115493.0,0.7939373420394635,1.925822222222222,346189036268566093487472362021253823883367618575363312974585371136977083302556986842891182809906745856390526864860936652291981169909133137656702146981775983708552,1.979416179271286e-08
1.8488200214390528e-08,0.2820476667343965,0.2820476667343965,0.7605819548680246,0.28204766673439646,0.7605819548680246,462665.0,115150.0,0.7950052774885177,1.9056161616161615,365634462430780381689766398973186478501266116120761080396544680926505282998730842708314995759543785733465885802288062824754156790469682184830747801194449468782664,1.904933532819868e-08
2.3191070718688498e-08,0.28236961553816514,0.28236961553816514,0.8222712860461932,0.28236961553816514,0.8222712860461932,466170.0,117048.0,0.7963224336130801,1.920109090909091,340200113622357263466827941767606687378758253793242596299630994309375405525584585900525695555614203837657932113403020635337176337980439430502773075915810301867264,2.0091937024310446e-08
1.4884238380294752e-08,0.278577907782122,0.278577907782122,0.7642501795859724,0.278577907782122,0.7642501795859724,456923.0,117602.0,0.7848628653698828,1.8825656565656568,344571414515268331710999959765447397042217076573938228266436797390120367229949253946420298410106171675851975644899831163348030430660515470702213129275362919946486,1.7866617528998602e-08
2.4083664343973282e-08,0.2815443923021835,0.2815443923021835,0.7469601554907679,0.2815443923021835,0.7469601554907679,462132.0,114705.0,0.7924474543166381,1.9036404040404042,344297334351780524072836840773417226414058648406310710378050899690286093014889679874515910144297177363528406571140764714822290703411383417295425121467335354327710,1.9954290058235822e-08
1.826546041458336e-08,0.282119722118346,0.282119722118346,0.7757622495151911,0.28211972211834613,0.7757622495151911,455315.0,89273.0,0.7939696402985889,1.876060606060606,362463745760441383560543305884439253029916121304604862611274927133831161262255344088446089188587881944083126077998888427507885904274564609037199861905976167159842,2.0378239038940787e-08
4.2606158186681994e-08,0.28280309784479585,0.28280309784479585,0.7634772365488702,0.2828030978447958,0.7634772365488702,460696.0,90254.0,0.7971592218664619,1.8978949494949495,347784468138347592270180709787031200197364543411437488756429674835049853754030137696575410667177289271428055087720067469386070823480022483161685274449267829018432,1.9405463128139094e-08
3.081626332368041e-08,0.28197171896607215,0.28197171896607215,0.8181223849372388,0.28197171896607215,0.8181223849372388,454370.0,84408.0,0.79353326355202,1.8711797979797982,342260765218653069573041596146208398601333442940254621276781457493384723086963320328673087448840501441483482552020912485771658569014004010464857198595511472870642,1.9357970404290213e-08
4.190734435569617e-08,0.2819849777139897,0.2819849777139897,0.7364742557089974,0.28198497771398967,0.7364742557089974,457072.0,83222.0,0.7929468751188132,1.8821858585858584,347996966530479587866040548785899233152250405196290126990580996594851908621191957484288654856458723197611728158652049727893139418081648030323198562150358952619120,1.896895411441183e-08
3.078129353785473e-08,0.28020081792705925,0.28020081792705925,0.7784611793789492,0.28020081792705925,0.7784611793789492,457325.0,78653.0,0.7882230269479755,1.8837171717171717,334363245018739062511764915132527308925134717562199550571327084743246493561869844520165357786638892474659721313496562934797365995468167694391039631435663527377250,1.867119307997605e-08
6.036269086730852e-08,0.2814500984518953,0.2814500984518953,0.8093320878409369,0.2814500984518952,0.8093320878409369,466875.0,83994.0,0.7921441484658711,1.9220848484848483,333045418962861232636970780432863051077194247566188889191984251784286100387267616438032863287926137464561847294719722410563609940311845925129121236534998645071356,1.9581750285495382e-08
2.3814788305231453e-08,0.2796549172190837,0.2796549172190837,0.7538849664857965,0.27965491721908375,0.7538849664857965,461841.0,76033.0,0.7879234699385997,1.9021535353535353,334323085909980312506926958037963749851305314787763524074721171278193023468151591940481568797551200854234261588929575021738098970454430288783268460972507510370600,1.928785347827469e-08
6.086575354398984e-08,0.2829599426855729,0.2829599426855729,0.7844524355431879,0.28295994268557284,0.7844524355431879,469306.0,91430.0,0.7976884528537366,1.932529292929293,313296153411463327435699327875492957306697826444260916465395898419190827803714970911066878186737693409583741663845761978270214325572869347774460513063439143436186,1.8744890437265577e-08
4.1791588675590424e-08,0.28105623223320103,0.28105623223320103,0.7826839826839829,0.28105623223320103,0.7826839826839829,471880.0,98299.0,0.7931398870383777,1.9437494949494947,321082517565313072880757876542431926364452144935960399987583493152332626871952172507556655680784120273606642481943112662579389419238164991069541589130679838811684,1.8087897158084343e-08
4.286230702864476e-08,0.2832461291102833,0.2832461291102833,0.8065977657368392,0.2832461291102833,0.8065977657368392,473294.0,90430.0,0.7986212973924833,1.9501454545454544,346844314721314318866359412376793220092419368252107712614063284314776834883298888238667881445215964818119430483374663540149686831190419470105564382191007667009388,2.0122292345661983e-08
6.212597114576816e-08,0.28344154781287406,0.28344154781287406,0.7987445163160186,0.28344154781287406,0.7987445163160186,473512.0,77085.0,0.7978271460043033,1.950157575757576,321486214543497534174733517145133976742127687273496404617523012882615902830174273814360810577699080443040957123147616451492006264632544456734356296339194080959434,1.8237796427552945e-08
3.031087980896529e-08,0.2848942894510089,0.2848942894510089,0.8336368775198869,0.28489428945100886,0.8336368775198869,475823.0,80731.0,0.8024516496090512,1.9599676767676768,315488851658962928887482052045844717762520282150559998821039059589715989215139377645891617521275814892299957662971178792264039652636728242388556482527130007633400,2.0049112748857245e-08
6.0950742445828e-08,0.28282405560206475,0.28282405560206475,0.798344586559552,0.28282405560206475,0.798344586559552,474389.0,82903.0,0.7974115880257667,1.954711111111111,310928558842092006982512140532045438195149532632461222481872472612606716913668685479469682819128468460506486958913399576568474033268224380959595312032022255575162,1.8603703552861244e-08
6.8598306295276e-08,0.2848647789276829,0.2848647789276829,0.8182800508089322,0.2848647789276829,0.8182800508089322,474986.0,73330.0,0.8022405159323865,1.9568727272727273,337051712212781467916344150918340212769260193734290588870156739906249074385208273926897511107357029852092454233221980080769836155959272848258452804635816382829104,2.221234088187551e-08
9.244995408631761e-08,0.2828831927333163,0.2828831927333163,0.8397054558322518,0.2828831927333163,0.8397054558322518,476534.0,75426.0,0.7973577120693732,1.9648686868686869,293172707842837027309901384375109719736112870319490800530123035511036788026401597614607218129344614867697454026647558979303220187602855637498606041440159143547876,1.9450095132285036e-08
1.6186609317596368e-07,0.28686323122924157,0.28686323122924157,0.8272701754385966,0.2868632312292416,0.8272701754385966,477876.0,76065.0,0.808622603484958,1.970670707070707,314012377742848260192794819618607698068122135018524671753593593594105545797953253402921740936604565484595512979960845911854948438587552805951460677133577772653996,1.9786226073319998e-08
1.009305555181009e-07,0.2837944239957295,0.2837944239957295,0.7891004256148676,0.2837944239957295,0.7891004256148676,476504.0,70436.0,0.7998511825702912,1.9649454545454546,304331917834065554956081080321412547868193062200318997607796428968602058926233762922563659938399477389789840970969454599900292978012166235143745034489752226766786,2.0175721716899783e-08
9.44830104147155e-08,0.28505203646647126,0.28505203646647126,0.7789698281882949,0.2850520364664713,0.7789698281882949,478499.0,76694.0,0.8034530642248495,1.9727070707070706,317073178827090466746276829858139280878992868650535343258674058548338734238876129687361243849307747778727746179495026968662308355071339217054101893791853429440664,2.081542386704906e-08
1.8265963089986205e-07,0.2858667074800303,0.2858667074800303,0.8299683870663331,0.2858667074800303,0.8299683870663331,478749.0,83209.0,0.8049907934032506,1.9734747474747476,311490920480198331690861195764417856560334633929574208933690613529480042943137533966169547433180223335105363157760488909525066804747980552284383283049805331431368,1.967399571455685e-08
5.871637901940932e-08,0.2838019372535133,0.2838019372535133,0.8626616391576551,0.2838019372535134,0.8626616391576551,478675.0,88974.0,0.8010157431812157,1.973458585858586,303613337531493198375071418562799065973543768991129023845520399859963659233056342157930340520539300781121258320661692535090629243769086956767241001191740401338700,2.043175452673953e-08
6.134695924027904e-08,0.2838387132493116,0.2838387132493116,0.8293176748993578,0.28383871324931154,0.8293176748993578,476421.0,90560.0,0.7992954866524051,1.9642343434343434,323567432038381666207748392125734949460199329623016996977900386480345468400245422444820957096400277180252112107034908727835005674403974818058056487168832651669168,1.7769848867255932e-08
1.7910405475845355e-07,0.28546262729612726,0.28546262729612726,0.8557972431390497,0.28546262729612726,0.8557972431390497,476435.0,89981.0,0.8044410041548615,1.9639838383838384,312946673642872063326852546873166491524502822060821801629978149641921785229744696910243701034166631042641188122225986074039910775645453788659892026207474457211888,1.879031265361528e-08
6.047335229493892e-08,0.2857737126031365,0.2857737126031365,0.8690356255411413,0.28577371260313655,0.8690356255411413,478864.0,80919.0,0.8054025760818844,1.9740646464646465,322928788663390548975640545117375003010730945720776323812088050189226774297167137659354128591530616259241675998481591599445859952867370983286531049329802541282582,2.2141142740489985e-08
9.380412280735418e-08,0.28624102428076803,0.28624102428076803,0.8653950496434067,0.28624102428076803,0.8653950496434067,477156.0,79203.0,0.8057403867861785,1.9666909090909093,308879238467932080233978285700838141667548592068138954968678952642181791368233335516630003997599809796503408715093031567416670827414517146972909370363794577092764,1.706088259897694e-08
1.738977369258343e-07,0.2861167242933902,0.2861167242933902,0.8832542659184611,0.2861167242933902,0.8832542659184611,478404.0,80515.0,0.8061396619284275,1.9722747474747475,300406325948911178621755353644320148591423260161138451198198761873930404226692510106028983200448299876793660987852202593497270944642616922861436608384535817311272,1.983964459960224e-08
