Optimas, 10210(0 1 4 2 5 3 7 9 6 8), 1689280(4 6 9 1 2 3 7 8 0 5), 486002(1 4 0 6 2 3 5 8 7 9), 324738(0 9 1 5 2 3 8 4 6 7), 1120434(3 0 8 4 1 9 7 2 5 6)
H-Axis, Max distance, Ratio,LCDM,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
35,1270080,35,49,0,0,0,0,178,48775,442488,33995,38621,200,206,176,244,67336,142
34,1233792,34,56,0,0,0,0,196,47444,443652,34363,38709,169,211,188,242,67074,146
33,1197504,33,59,0,0,0,0,169,47462,442745,33882,38376,185,212,187,276,67288,138
32,1161216,32,58,0,0,0,0,166,47065,442265,33803,37573,161,203,173,241,67164,136
31,1124928,31,54,0,0,0,0,172,49162,451335,35054,39013,175,217,197,245,68576,139
30,1088640,30,89,0,0,0,0,201,48691,446723,34196,38898,171,205,175,260,67801,138
29,1052352,29,80,0,0,0,0,165,47169,446467,34493,37578,162,209,194,236,66913,138
28,1016064,28,81,0,0,0,0,165,49370,447145,34468,39828,163,209,176,239,68142,146
27,979776,27,62,0,0,0,0,193,48658,445995,35445,38988,187,229,198,264,67542,177
26,943488,26,142,0,0,0,0,394,48258,446953,34860,38707,171,212,181,246,67777,144
25,907200,25,71,0,0,0,0,219,49734,450954,35079,39952,179,212,197,277,68946,146
24,870912,24,72,0,0,0,0,197,48099,446263,34519,39063,181,207,176,244,68057,138
23,834624,23,120,0,0,0,0,178,48038,447109,34082,38438,215,209,240,253,67090,142
22,798336,22,68,0,0,0,0,213,48036,445314,35224,38342,220,208,180,238,67857,143
21,762048,21,106,0,0,0,0,207,49641,445116,34119,39575,174,202,176,248,67558,140
20,725760,20,57,0,0,0,0,204,47398,443779,34298,37328,176,209,188,252,66581,145
19,689472,19,59,0,0,0,0,226,47909,445038,33400,39254,166,283,194,271,67310,142
18,653184,18,118,0,0,0,0,201,48062,446696,34982,38622,170,241,213,247,67547,139
17,616896,17,72,0,0,0,0,196,48060,444686,34165,38531,165,200,175,273,67567,139
16,580608,16,72,0,0,0,0,194,47705,442745,34102,37438,175,203,192,263,67539,139
15,544320,15,57,0,0,0,0,188,47768,442469,33071,38296,171,198,174,238,66701,141
14,508032,14,63,0,0,0,0,172,46467,441872,34621,36630,168,201,178,234,66105,139
13,471744,13,73,0,0,0,0,232,48042,446013,34129,38612,238,200,182,241,67278,139
12,435456,12,231,1,0,0,0,169,48819,444542,33520,39712,201,363,183,238,67837,143
11,399168,11,65,0,0,0,0,169,48667,443032,33667,38841,167,214,183,237,66813,167
10,362880,10,61,0,0,0,0,171,45613,441259,33420,38184,172,213,184,244,66090,139
9,326592,9,63,0,0,0,0,202,48039,443888,33796,39022,164,227,174,235,67863,138
8,290304,8,116,0,0,0,0,219,48371,442982,34045,39164,215,259,185,233,67080,150
7,254016,7,61,0,0,0,0,196,47734,442195,34617,38791,179,210,179,266,66884,141
6,217728,6,66,0,0,0,0,170,46479,443669,33967,37905,168,205,175,247,65970,174
5,181440,5,65,0,0,0,0,170,47318,444997,34014,39463,172,206,176,232,67840,138
4,145152,4,66,0,0,0,0,173,47319,441383,34667,38399,214,211,192,273,66545,147
3,108864,3,121,0,0,0,0,171,46904,441179,34470,38226,177,198,179,240,66679,146
2,72576,2,85,0,0,0,0,179,48093,442520,34244,38869,207,206,182,242,67388,144
1,36288,1,64,0,0,0,0,167,45949,437721,34351,37007,200,203,179,246,66070,136
