Optimas, 10210(0 1 4 2 5 3 7 9 6 8), 1689280(4 6 9 1 2 3 7 8 0 5), 486002(1 4 0 6 2 3 5 8 7 9), 324738(0 9 1 5 2 3 8 4 6 7), 1120434(3 0 8 4 1 9 7 2 5 6), 1699998(4 7 1 3 0 8 5 2 6 9), 2117037(5 8 4 0 2 9 7 3 6 1), 1406637(3 8 9 0 5 7 6 2 4 1), 1204758(3 2 9 0 4 7 5 1 6 8), 258085(0 7 4 2 5 8 6 1 9 3), 305111(0 8 5 4 7 3 9 6 2 1), 1178840(3 2 1 9 4 7 5 6 0 8), 2562143(7 0 5 3 6 1 9 8 4 2), 1329233(3 6 9 7 0 8 4 5 2 1), 3119554(8 5 2 9 6 1 3 7 0 4), 3077106(8 4 2 5 7 3 9 0 1 6), 422700(1 2 5 9 0 6 7 3 4 8), 372839(1 0 3 9 7 8 6 5 4 2), 813907(2 3 1 6 5 7 9 0 8 4), 1689280(4 6 9 1 2 3 7 8 0 5)
H-Axis, Max distance, Ratio,LCDM,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Dummy5,Dummy6,Dummy7,Dummy8,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
38,1378944,38,118,0,0,0,0,332,0,0,0,0,337,418,362,525,182229,269
37,1342656,37,135,0,0,0,0,376,0,0,0,0,346,412,361,508,181845,279
36,1306368,36,116,0,0,0,0,340,0,0,0,0,337,436,368,510,180229,271
35,1270080,35,118,0,0,0,0,333,0,0,0,0,335,421,374,500,181273,273
34,1233792,34,132,0,0,0,0,341,0,0,0,0,344,415,375,500,181283,272
33,1197504,33,112,0,0,0,0,330,0,0,0,0,328,403,360,493,181490,272
32,1161216,32,111,0,1,0,0,334,0,0,0,0,334,418,359,529,182648,276
31,1124928,31,114,0,0,0,0,370,0,0,0,0,646,639,393,566,178608,305
30,1088640,30,110,0,0,0,0,351,0,0,0,0,356,551,530,545,183200,291
29,1052352,29,110,0,0,0,0,337,0,0,0,0,334,444,510,816,182223,301
28,1016064,28,109,0,0,0,0,389,0,0,0,0,370,420,358,531,182474,284
27,979776,27,128,0,0,0,0,357,0,0,0,0,342,424,359,495,182609,275
26,943488,26,152,0,0,0,0,331,0,0,0,0,332,420,353,491,183921,271
25,907200,25,127,0,0,0,0,352,0,0,0,0,332,416,366,485,182859,274
24,870912,24,114,0,0,0,0,338,0,0,0,0,337,420,358,512,182984,272
23,834624,23,114,0,0,0,0,337,0,0,0,0,332,431,351,490,179941,279
22,798336,22,108,0,0,0,0,339,0,0,0,0,331,413,351,488,180800,275
21,762048,21,102,0,0,0,0,331,0,0,0,0,328,405,358,482,178026,275
20,725760,20,111,0,0,0,0,360,0,0,0,0,326,408,367,506,181874,273
19,689472,19,119,0,0,0,0,336,0,0,0,0,331,422,367,491,181106,277
18,653184,18,114,0,0,0,0,337,0,0,0,0,332,413,359,487,179466,275
17,616896,17,133,0,0,0,0,348,0,0,0,0,344,417,363,486,178492,275
16,580608,16,120,0,0,0,0,348,0,0,0,0,342,419,360,491,181012,270
15,544320,15,113,0,0,0,0,379,0,0,0,0,356,410,361,523,178865,277
14,508032,14,120,0,0,0,0,357,0,0,0,0,334,414,372,519,180938,278
13,471744,13,115,0,0,0,0,342,0,0,0,0,339,423,377,526,177050,283
12,435456,12,120,0,0,0,0,350,0,0,0,0,358,415,365,507,178761,282
11,399168,11,111,0,0,0,0,334,0,0,0,0,338,419,367,493,175673,284
10,362880,10,118,0,0,0,0,353,0,0,0,0,347,415,379,494,176020,275
9,326592,9,163,0,0,0,0,345,0,0,0,0,335,417,370,508,176265,277
8,290304,8,115,0,0,0,0,349,0,0,0,0,333,422,365,498,175920,284
7,254016,7,125,0,0,0,0,336,0,0,0,0,329,410,357,490,175402,272
6,217728,6,110,0,0,0,0,339,0,0,0,0,332,402,371,515,176202,279
5,181440,5,116,0,0,0,0,321,0,0,0,0,336,387,343,468,165415,273
4,145152,4,109,0,0,0,0,327,0,0,0,0,315,384,350,462,163803,278
3,108864,3,113,0,0,0,0,328,0,0,0,0,329,411,341,462,164279,274
2,72576,2,116,0,0,0,0,335,0,0,0,0,352,407,369,712,164660,301
1,36288,1,121,0,0,0,0,333,0,0,0,0,332,398,354,459,168387,273
