Optimas, 129000(0 4 2 7 3 1 5 6 8 9), 135650(0 4 3 9 5 6 1 7 2 8), 486002(1 4 0 6 2 3 5 8 7 9), 324738(0 9 1 5 2 3 8 4 6 7), 1120434(3 0 8 4 1 9 7 2 5 6), 1699998(4 7 1 3 0 8 5 2 6 9), 2117037(5 8 4 0 2 9 7 3 6 1), 1406637(3 8 9 0 5 7 6 2 4 1), 1204758(3 2 9 0 4 7 5 1 6 8), 258085(0 7 4 2 5 8 6 1 9 3)
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Dummy5,Dummy6,Dummy7,Dummy8,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
31,1124928,31,81,0,0,0,0,184,0,0,0,0,181,207,188,290,140123,132
30,1088640,30,59,0,0,0,0,177,0,0,0,0,179,207,183,293,139914,149
29,1052352,29,59,0,0,0,0,178,0,0,0,0,173,206,186,293,139521,152
28,1016064,28,59,0,0,0,0,187,0,0,0,0,180,211,186,296,140022,132
27,979776,27,68,0,0,0,0,218,0,0,0,0,179,211,185,292,140478,132
26,943488,26,55,0,0,0,0,176,0,0,0,0,181,209,185,319,139553,151
25,907200,25,57,0,0,0,0,181,0,0,0,0,176,217,186,294,139733,145
24,870912,24,56,0,0,0,0,177,0,0,0,0,174,207,186,289,140211,130
23,834624,23,57,0,0,0,0,188,0,0,0,0,181,215,186,295,139417,133
22,798336,22,58,0,0,0,0,184,0,0,0,0,180,212,185,292,139139,148
21,762048,21,62,0,0,0,0,184,0,0,0,0,185,218,193,291,138658,154
20,725760,20,54,0,0,0,0,177,0,0,0,0,172,206,185,291,138872,132
19,689472,19,56,0,0,0,0,180,0,0,0,0,176,210,187,290,138938,135
18,653184,18,67,0,0,0,0,182,0,0,0,0,176,209,192,289,138727,166
17,616896,17,58,0,0,0,0,179,0,0,0,0,175,208,188,325,139042,137
16,580608,16,54,0,0,0,0,178,0,0,0,0,177,211,187,287,139008,161
15,544320,15,56,0,0,0,0,188,0,0,0,0,177,210,185,285,139828,151
14,508032,14,57,0,0,0,0,181,0,0,0,0,173,208,183,289,138063,132
13,471744,13,59,0,0,0,0,182,0,0,0,0,174,211,187,290,138191,160
12,435456,12,59,0,0,0,0,182,0,0,0,0,176,210,186,285,138666,133
11,399168,11,58,0,0,0,0,181,0,0,0,0,176,219,190,286,138498,171
10,362880,10,58,0,0,0,0,181,0,0,0,0,177,248,189,290,138278,134
9,326592,9,61,0,0,0,0,180,0,0,0,0,181,208,186,283,137818,133
8,290304,8,57,0,0,0,0,179,0,0,0,0,174,215,185,282,138290,180
7,254016,7,66,0,0,0,0,187,0,0,0,0,180,208,186,284,137733,166
6,217728,6,55,0,0,0,0,182,0,0,0,0,174,209,188,288,138400,149
5,181440,5,55,0,0,0,0,179,0,0,0,0,175,208,185,282,137358,133
4,145152,4,52,0,0,0,0,181,0,0,0,0,173,211,186,282,138067,151
3,108864,3,55,0,0,0,0,182,0,0,0,0,173,215,185,284,137114,132
2,72576,2,55,0,0,0,0,183,0,0,0,0,182,214,190,287,137706,134
1,36288,1,58,0,0,0,0,177,0,0,0,0,172,208,182,274,137281,162
