Ours,Ursem,Li et al.,Cheng,Tilahun,Salleh et al.,Osuna Enciso et al.
1.6057129440854892e-06,2.8847337869053455,2.8847337869053455,0.9612850307334599,2.8847337869053455,0.9612850307334599,2.9802322387695312e-08
1.6017822930280828e-06,2.8846075068584645,2.8846075068584645,0.9580395940150314,2.8846075068584645,0.9580395940150314,2.9802322387695312e-08
1.6027431603189162e-06,2.884255739123369,2.884255739123369,0.9504934866029919,2.8842557391233683,0.9504934866029919,2.9802322387695312e-08
1.6056955639447204e-06,2.883844454999382,2.883844454999382,0.9450693899685783,2.8838444549993816,0.9450693899685783,2.9802322387695312e-08
1.6083230898045692e-06,2.883608981731214,2.883608981731214,0.9367867805585713,2.883608981731214,0.9367867805585713,2.9802322387695312e-08
1.6101057067387019e-06,2.8833484102803864,2.8833484102803864,0.9292004134245456,2.8833484102803864,0.9292004134245456,2.9802322387695312e-08
1.6073557443927798e-06,2.8826637289300505,2.8826637289300505,0.9211780826025376,2.88266372893005,0.9211780826025376,2.9802322387695312e-08
1.6270108966060345e-06,2.881713991582107,2.881713991582107,0.9092489839918548,2.881713991582107,0.9092489839918548,2.9802322387695312e-08
1.6142615921760943e-06,2.881128089501863,2.881128089501863,0.909193895458947,2.8811280895018623,0.909193895458947,2.9802322387695312e-08
1.6086782527859954e-06,2.880645637937252,2.880645637937252,0.9000792321991955,2.8806456379372527,0.9000792321991955,2.9802322387695312e-08
4.154599655418819e-06,2.879556948973526,2.879556948973526,0.8994790416098869,2.879556948973526,0.8994790416098869,2.9802322387695312e-08
4.287689145482325e-06,2.878842346345327,2.878842346345327,0.8992730296892109,2.8788423463453263,0.8992730296892109,2.9802322387695312e-08
4.2989473265644665e-06,2.8775524048422287,2.8775524048422287,0.8954665250012908,2.8775524048422296,0.8954665250012908,2.9802322387695312e-08
4.280183545251586e-06,2.8764919749246265,2.8764919749246265,0.8902101051134436,2.876491974924626,0.8902101051134436,2.9802322387695312e-08
4.300756175792982e-06,2.8752896396435794,2.8752896396435794,0.8831624884712141,2.875289639643579,0.8831624884712141,2.9802322387695312e-08
4.233121645303769e-06,2.874077412028661,2.874077412028661,0.8795156837984757,2.8740774120286603,0.8795156837984757,2.9802322387695312e-08
