LCDM,Ursem,Li et al.,Cheng,Tilahun,Salleh et al.,Osuna Enciso et al.
3.858103126898792e-07,0.28711338240345374,0.28711338240345374,0.857443356527387,0.28711338240345374,0.857443356527387,2.2435317990822353e-08
3.581710444660969e-07,0.2865777809537905,0.2865777809537905,0.8459617964301357,0.2865777809537905,0.8459617964301357,2.0836548958643148e-08
5.8300614664251056e-08,0.2858603131812218,0.2858603131812218,0.8155207321131449,0.28586031318122185,0.8155207321131449,2.147561429913686e-08
9.257417043612333e-08,0.28434958822774126,0.28434958822774126,0.7386747807125011,0.2843495882277413,0.7386747807125011,1.9587396365923205e-08
9.706948027655098e-08,0.28379279327090484,0.28379279327090484,0.785364631049918,0.2837927932709049,0.785364631049918,1.587146404494256e-08
5.968493658729348e-08,0.28437467424122903,0.28437467424122903,0.7755612294366696,0.28437467424122903,0.7755612294366696,4.845773052903612e-09
9.108298318111838e-08,0.2815706066540734,0.2815706066540734,0.7743506727102671,0.2815706066540734,0.7743506727102671,1.088128433277872e-08
1.1123302312499647e-07,0.2813549529041293,0.2813549529041293,0.7514283078880414,0.2813549529041294,0.7514283078880414,1.3629922512124112e-08
6.217827200843777e-08,0.28297898520413955,0.28297898520413955,0.7810078482668404,0.28297898520413955,0.7810078482668404,1.379399234647217e-08
6.117747667929623e-08,0.2839823104748722,0.2839823104748722,0.77055646219321,0.2839823104748722,0.77055646219321,1.0384673126966475e-08
6.192955142505746e-08,0.2834480809070379,0.2834480809070379,0.814951935514617,0.2834480809070379,0.814951935514617,1.0155655565683358e-08
6.000374704866826e-08,0.2821511968991556,0.2821511968991556,0.783296608653598,0.2821511968991556,0.783296608653598,1.888159820796547e-08
6.278918439396806e-08,0.2823728039075179,0.2823728039075179,0.7293744065894772,0.2823728039075179,0.7293744065894772,1.3226309418842744e-08
4.213185774573896e-08,0.27669409889444607,0.27669409889444607,0.7432821052081564,0.276694098894446,0.7432821052081564,1.1451696115289613e-08
4.072993680508439e-08,0.2812770095528529,0.2812770095528529,0.7597299355594604,0.28127700955285284,0.7597299355594604,1.5998375090738778e-08
4.258805599938589e-08,0.28029855664105263,0.28029855664105263,0.7498890189922282,0.28029855664105263,0.7498890189922282,1.4719637625878957e-08
6.317898405595082e-08,0.28092872808164887,0.28092872808164887,0.74256481093371,0.28092872808164887,0.74256481093371,1.737828524939425e-08
4.394942145230114e-08,0.27605807325783305,0.27605807325783305,0.7133145754436478,0.2760580732578331,0.7133145754436478,1.5159096173240262e-08
4.333241447093294e-08,0.2753704933494438,0.2753704933494438,0.7289223489616622,0.27537049334944386,0.7289223489616622,1.3102651946440788e-08
6.320251111598932e-08,0.278389216532091,0.278389216532091,0.7381793325497008,0.2783892165320909,0.7381793325497008,1.721804650204507e-08
6.100121111267161e-08,0.2794204806037608,0.2794204806037608,0.7121303110647307,0.2794204806037608,0.7121303110647307,1.5873544624594585e-08
6.108161952494474e-08,0.2803536829308937,0.2803536829308937,0.7575633215360904,0.2803536829308937,0.7575633215360904,1.7949096632036644e-08
4.222719785998046e-08,0.28034039880590755,0.28034039880590755,0.7359209518908536,0.28034039880590755,0.7359209518908536,1.763952574424214e-08
4.4102509279051074e-08,0.2794010893420283,0.2794010893420283,0.7758906198645894,0.2794010893420283,0.7758906198645894,1.8216940671855067e-08
1.5193973166721775e-08,0.2769210437690721,0.2769210437690721,0.7282874021933824,0.2769210437690721,0.7282874021933824,1.695132497916378e-08
2.462575942825329e-08,0.2759276836166206,0.2759276836166206,0.7479262621789199,0.2759276836166206,0.7479262621789199,1.960354047410305e-08
1.9190336314042315e-08,0.27960630587560587,0.27960630587560587,0.7366445911949683,0.2796063058756058,0.7366445911949683,1.8898060429609947e-08
2.4109299470232022e-08,0.2770636688386841,0.2770636688386841,0.7378902056957964,0.2770636688386841,0.7378902056957964,1.552904906217855e-08
