LCDM,Ursem,Li et al.,Cheng,Tilahun,Salleh et al.,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Zhao et al.,Osuna Enciso et al.
3.6730463885039535e-07,0.28700575724211386,0.28700575724211386,0.8881172949986397,0.28700575724211386,0.8881172949986397,480056.0,485071.0,0.8148703466566946,1.9791919191919192,313406295938930266053724117867761723576475212026078705639741625967380621692491935947630408279637844630179631738540383029190822770635310329362173649648447902485974,2.268043940247836e-08
1.6884063581007251e-06,0.28697513611878306,0.28697513611878306,0.8797068877478644,0.286975136118783,0.8797068877478644,479880.0,485097.0,0.8147854761856093,1.9784646464646463,312677120085280493424442160616915666675842406117869853781386625933321540410098195075405820281729714886648296675627141087834203158990149851962871790324864926765910,2.27964556649967e-08
1.689712389612419e-06,0.2870167710511472,0.2870167710511472,0.871306204136091,0.2870167710511472,0.871306204136091,479685.0,485091.0,0.8148723173282545,1.9776808080808082,316086997204671882116606766965400671333678178819796594265896985231772295960413415969245808347243654242903954617663489429278484509079606651888956647216239408799822,2.2911275646753765e-08
3.674702498651367e-07,0.2871217029350301,0.2871217029350301,0.8575972563755424,0.28712170293503014,0.8575972563755424,479416.0,485126.0,0.8152052574633724,1.9765777777777778,313174266516070732042798039531098468590681327670564413364740335435982859689913153607078534430762943012375764767228298998654840731166646105548486303925949839701322,2.256148861544278e-08
3.6368965552289384e-07,0.2871407003787022,0.2871407003787022,0.8458729261448771,0.28714070037870215,0.8458729261448771,479101.0,485019.0,0.8152723884431551,1.9752727272727273,313915143005169409691432179686931596985536131438210089484904387666435006551282409214373110576824639828812921795864811237253119009587074973749371434790686963893516,2.204545665304372e-08
3.636842447565326e-07,0.2870675089849146,0.2870675089849146,0.8622286579437176,0.28706750898491457,0.8622286579437176,478705.0,485057.0,0.815056819356896,1.9736525252525252,313911099566940070850855563020312009888643728334006544001042328723552517118191004002228028070001289011289840907215009380962337166819213692607472899555670708546374,2.1879978319778894e-08
3.6292756989155597e-07,0.28694634196274427,0.28694634196274427,0.8689349530878028,0.2869463419627443,0.8689349530878028,478335.0,485073.0,0.8147295126850432,1.9721212121212122,310697425423745948008494313539862066522110181447741087713192958011186121945053862315317141856064280420096846166712309425005210333703725793856240293542441722058446,2.227690901067226e-08
3.6065629665823503e-07,0.2866796808947437,0.2866796808947437,0.8699180097714375,0.2866796808947437,0.8699180097714375,478012.0,485008.0,0.8139752005675882,1.970828282828283,303302765414943134460548368013899980516609858812167340395952318086114682587199834670180384549989843360738959742720155925232917212682901537074337088969411436421680,2.2106756059571667e-08
3.5852429944869494e-07,0.2866829432009023,0.2866829432009023,0.8537455823085667,0.2866829432009023,0.8537455823085667,477680.0,485005.0,0.8139808731940248,1.96939797979798,306908838291289520868648235854297940197285270016412724573520982808070462761750389109840933784667084336452372270461866315733886835686388091815338559797655776160724,2.164616879132369e-08
3.570287255625486e-07,0.28677226723020527,0.28677226723020527,0.8450288327834885,0.28677226723020527,0.8450288327834885,477354.0,484964.0,0.8142135461783337,1.9680323232323231,303698228272047777445331877013003345960049741926591302466052331284081821092029628169398106583975320318170935729189564661757424517224315479162319479675082039365262,2.2038260386329436e-08
3.5891830963762395e-07,0.28662820196418926,0.28662820196418926,0.8571729353481687,0.2866282019641893,0.8571729353481687,476780.0,484907.0,0.813795014155475,1.96569696969697,309119275990486716050807116689773199820621175777090670906170784919517789902154622632357515963733388094365665415230818018326215435790336307656902803500759431823188,2.187163864210342e-08
3.578678800594931e-07,0.28666000752845733,0.28666000752845733,0.8431850142601399,0.28666000752845733,0.8431850142601399,476414.0,484860.0,0.8138866162883662,1.9641777777777778,311932443864232491066445822848132167308941644666004217961862732975925514027384913121545976880866974313671740424057795752530897870991123146248846944682297710529020,2.1647848020208893e-08
1.6658253583171955e-06,0.2865529744762876,0.2865529744762876,0.8396275452431159,0.2865529744762876,0.8396275452431159,475934.0,484931.0,0.8135873145622312,1.9622626262626264,314344933179092080797161760835834214892877782285871958764776676809459445450171894567056413166304471663337123701896245206856724022105280852705535315299830215390724,2.1647344368239642e-08
