Optimas, 506(0 5 2 1 4 3 6), 3025(4 1 2 0 3 6 5), 1680(2 3 0 1 4 5 6), 2147(2 6 5 1 4 3 0)
H-Axis, Max distance, Ratio,Ours-a=1.0,Ours-a=0.9,Ours-a=0.8,Ours-a=0.7,Ours-a=0.6,Ours-a=0.5,Ours-a=0.4
100,5040,100,0.02009738956779093,0.020700759056959596,0.021412520040117268,0.021914661614232552,0.022432268278338247,0.02260466063812297,0.022803971410765227
99,4989.6,99,0.019855614805644423,0.020323597461195195,0.02108219023886065,0.021717801944826153,0.022019997230696187,0.022365688140638943,0.022576721924707995
98,4939.2,98,0.019959304135036764,0.020426994280444474,0.02134556353106471,0.021657035511642414,0.02182421498493141,0.022080304059004945,0.022293258041990963
97,4888.8,97,0.01939988130065689,0.02012548946719049,0.020642999831659445,0.02120207417522658,0.021385367373631028,0.021831562868455678,0.021959093185512257
96,4838.4,96,0.019710993927523592,0.02018440695613672,0.020916051241989083,0.0214022382572272,0.02168120690143186,0.02190777009285237,0.022119350554894567
95,4788,95,0.019212452427104676,0.01974100735291802,0.02041486055296602,0.020924241434594138,0.02116771149255129,0.02150757129397279,0.021679502941642087
94,4737.6,94,0.01869701638724147,0.018930860704838227,0.019658178679779294,0.02024053786621013,0.02058729321702341,0.020834933208988483,0.020986353326340537
93,4687.2,93,0.01887219059999391,0.019390654260741415,0.0200525542122918,0.020495386735293,0.02076278390679647,0.02112669032903285,0.021244894556027148
92,4636.8,92,0.018533078541983803,0.019121983654630435,0.019747132933384304,0.02004638620352466,0.020337159480022172,0.020543577210897883,0.02076578143745165
91,4586.4,91,0.01856958805942201,0.01880523040813101,0.01965463866341253,0.019987798429214918,0.020299127760354238,0.020525353870517727,0.020658947489584564
90,4536,90,0.018024173824483833,0.018413455149235824,0.018952562971507114,0.019548104934689593,0.019727840438790122,0.01993009434452804,0.020111254161499836
89,4485.6,89,0.01794113989270777,0.01825511646069579,0.018749170772752316,0.019271934365458706,0.019472151936493143,0.019690399485808106,0.019869848247686995
88,4435.2,88,0.018224650320252774,0.018568627122726288,0.01917575802182233,0.01939345011472708,0.019743985647304445,0.019942465084702207,0.02008296941554831
87,4384.8,87,0.01776957556256493,0.018209127158485428,0.018891712737597557,0.01916419447270661,0.019327912554573414,0.01950607436770183,0.019679294521620767
86,4334.4,86,0.01771363211136085,0.017945570778734956,0.01844781190846524,0.018789260594531988,0.01907851784075575,0.019226816588199504,0.019356734704716837
85,4284,85,0.01711489350631179,0.017750473901354643,0.01797363949587892,0.018224072689017472,0.01864539301279145,0.018863850785710547,0.018972128163040506
84,4233.6,84,0.016740727287659775,0.017093032739585515,0.0174327265972168,0.017955661962749076,0.018129904122559267,0.018323808619504507,0.01842658745314425
83,4183.2,83,0.0171715560518063,0.01755452097525613,0.01794749179938457,0.018339226433607088,0.018556978700920716,0.018752299280204932,0.01884449386045436
82,4132.8,82,0.017020613656202516,0.01731397198409365,0.01793534236316129,0.018300284566470766,0.018393792952701184,0.01851537735137257,0.018584974193653694
81,4082.4,81,0.01641730699828467,0.016706116267329988,0.017304326399528714,0.01750434057651238,0.017739244842362795,0.017924307702838115,0.018081468737514986
80,4032,80,0.016337986847803722,0.016703756586542072,0.017052655445448015,0.017320390227136898,0.017528754443325387,0.017614759441605145,0.01778489978316938
79,3981.6,79,0.016156519620552742,0.0163333036300556,0.016704299622121128,0.017016147307145037,0.01718032596809295,0.017335614792278166,0.017384065030396172
78,3931.2,78,0.016128936755763854,0.016422706478460572,0.01669664705406363,0.017152951762703754,0.01719469960572361,0.017301005480723462,0.017399990345881043
77,3880.8,77,0.0159190743595743,0.0161784019839027,0.01647079262312229,0.016640245559025303,0.016816044206669857,0.01700080468344515,0.017144661465827056
76,3830.4,76,0.0159854113022716,0.01625068094552866,0.01665642633538506,0.016881338302576064,0.017081848032240797,0.01720716209866704,0.017367694799429886
75,3780,75,0.015210905247262197,0.01556880154599884,0.0157771158688708,0.01604626389702449,0.016259796899068372,0.016408339100875927,0.01650051509962555
74,3729.6,74,0.015507070553914468,0.015715123317032457,0.016014979963361972,0.016211683469478697,0.016414093859774617,0.01654907080251024,0.016671602542288076
73,3679.2,73,0.014556784054720306,0.01483644646071457,0.01505217329923101,0.015348219129048393,0.015460753139465712,0.01565251548002484,0.015811470198814116
72,3628.8,72,0.015163247858468683,0.015440791336440652,0.015735016644693022,0.015991051008537153,0.016090101445517275,0.016198299119670214,0.016369462172343356
71,3578.4,71,0.014912525071275873,0.015187206351783819,0.015306428899209199,0.015551123768629313,0.015693194598430216,0.015815260861892125,0.015942058432640273
70,3528,70,0.014761519960464445,0.014995106852413866,0.015277928910712895,0.015495517184378672,0.015638953575107636,0.01569993062275998,0.01582944536485585
69,3477.6,69,0.014261632014751087,0.014469552568609182,0.01467666738245865,0.01480358464646157,0.014928162427159037,0.015052061494475393,0.01518500577373274
68,3427.2,68,0.014434652032210645,0.01475201780129725,0.01489729820073605,0.015068912664973238,0.015220777460622802,0.015339546984549675,0.015470655917276492
67,3376.8,67,0.014053469701619612,0.01426171727089839,0.01442610064622871,0.014599205870624814,0.014716200908094647,0.014865013635195006,0.015061249744923172
66,3326.4,66,0.013994021837865127,0.014140440557212627,0.014371188897190865,0.014489205151674513,0.01461133013057948,0.014742297242260663,0.01488495524486114
65,3276,65,0.013795868191363312,0.013985876872611496,0.014113045913686461,0.014278500182197009,0.014385708789572602,0.014547899176235966,0.014663348437530118
64,3225.6,64,0.013509890514012267,0.013624518992983926,0.013786201684903217,0.013922529062961247,0.014025015187008116,0.014132452021751103,0.01429088737050892
63,3175.2,63,0.013181874832309155,0.013374452941354422,0.0135711932732149,0.013704317502745741,0.013769036978243204,0.013923536103689961,0.014062639710899098
62,3124.8,62,0.013154197994410127,0.01329462153274868,0.013442318249242675,0.013482746929290778,0.013685058496570857,0.013784578108047712,0.013952428435852806
61,3074.4,61,0.013076481042609132,0.013240495512444692,0.013338322995305225,0.013452572301189627,0.013517020368117937,0.013668972176266019,0.013835380204589146
60,3024,60,0.012733451878132619,0.012831807103634634,0.012934246433084561,0.0131175458015102,0.013208200933682296,0.013298180517032878,0.013417201003291277
59,2973.6,59,0.013113202950390252,0.013126141430867842,0.013271713777102288,0.013514558831965234,0.013607186135426962,0.013718784384818718,0.0138631303921734
58,2923.2,58,0.012430275469241511,0.012560785465769752,0.012655330977997837,0.012716753859770969,0.012837111647150463,0.012977147935992375,0.013127983054052708
57,2872.8,57,0.01208251975014539,0.012135689812376966,0.012203668413782464,0.012336593596597526,0.01241229596906199,0.012550857578467184,0.012679674321803234
56,2822.4,56,0.011987711903330539,0.012015366015417498,0.01211901950444342,0.012226319488486254,0.012379624362597824,0.01252906446998419,0.012653778440067294
55,2772,55,0.01203192603800912,0.012119840802913989,0.012199969607565468,0.01225209206764799,0.012367893189706308,0.01245449834020598,0.012591608001569483
54,2721.6,54,0.01140132791731226,0.011465288301791889,0.011516941207028463,0.011583838222832613,0.01168125222360842,0.011806459597808776,0.011957789715404224
53,2671.2,53,0.011817497148414645,0.011872844152771806,0.011957625594374435,0.012056267487382066,0.012136880832130728,0.01227423094373453,0.012426658323702367
52,2620.8,52,0.011326330496404451,0.011370445362286026,0.011464324521154246,0.011590424543896853,0.011677057069799683,0.011761270914365162,0.011889408319655572
51,2570.4,51,0.011085868260224205,0.01116175889681361,0.011214474220942728,0.011298196733326714,0.011396104616121581,0.011548655575873661,0.011671107627076429
50,2520,50,0.011244683454949231,0.011347067198470326,0.011409947740439953,0.011501457407806481,0.011568547463089862,0.011705112919075531,0.01182281894118248
49,2469.6,49,0.010857697120123671,0.01086730406991718,0.010900972224196845,0.010994856617566074,0.011107054605870375,0.01121460526437111,0.011347662117518684
48,2419.2,48,0.01063786697239685,0.010635452453522511,0.010717914389485066,0.010794909069534508,0.010900075710303632,0.011001295304862062,0.011117552137206284
47,2368.8,47,0.010860313757779048,0.010869781612797384,0.010890616284475343,0.010998331704622877,0.011083331026086034,0.011221769129768125,0.011310963125691789
46,2318.4,46,0.010558944868842589,0.010581885727264297,0.01066484476169055,0.010701375718098595,0.010827404938730866,0.010932165433202391,0.011046296474864633
45,2268,45,0.010408850342108452,0.010434248455990105,0.010450448052119359,0.010504133961415358,0.010554611425874548,0.010704516894635141,0.010843914849837955
44,2217.6,44,0.01030641913894626,0.010320991124915056,0.010362177381584292,0.010439728124362653,0.010505444355009006,0.010627447147942042,0.010743376534760955
43,2167.2,43,0.01008080997823535,0.010099077951827984,0.01012634946637804,0.010233094982864083,0.01032018052387784,0.010402379333585515,0.010486964055734216
42,2116.8,42,0.010029584461058434,0.010062683100462402,0.010089536920521905,0.010190158989548387,0.010271685489192722,0.01038329989442128,0.010505535765287113
41,2066.4,41,0.00992379244264422,0.009948461362468896,0.01004879075032602,0.010121031273084797,0.010229308632825049,0.010322476746380435,0.010415592453009905
40,2016,40,0.009605138735053712,0.009623402105227358,0.009661578233278255,0.009760396600358214,0.009859211381008447,0.00995020549080461,0.01004596289791073
39,1965.6,39,0.009599710459782617,0.009601078898440195,0.009620241503697379,0.009694159122491814,0.009793224788795477,0.009876809701120952,0.009976209653015763
38,1915.2,38,0.009518377529609762,0.009515651126737908,0.00955233165697719,0.009606461214206954,0.009678024673830249,0.009745404767552819,0.009849836161467403
37,1864.8,37,0.009567503576276247,0.009583856606464904,0.009633305730620953,0.00966859123193458,0.009766427808032522,0.009815868604438104,0.009919895443380572
36,1814.4,36,0.00968518806187515,0.009748874504925141,0.009751180006936781,0.009771749793437963,0.009841088786961789,0.009901489097136233,0.010031471523282194
35,1764,35,0.009863037240565265,0.009857029399160066,0.009860049356126476,0.009916698053187421,0.009979242927218421,0.010093743205580126,0.010181587484183663
