Optimas, 10210(0 1 4 2 5 3 7 9 6 8), 1689280(4 6 9 1 2 3 7 8 0 5), 486002(1 4 0 6 2 3 5 8 7 9), 324738(0 9 1 5 2 3 8 4 6 7), 1120434(3 0 8 4 1 9 7 2 5 6), 1699998(4 7 1 3 0 8 5 2 6 9), 2117037(5 8 4 0 2 9 7 3 6 1), 1406637(3 8 9 0 5 7 6 2 4 1), 1204758(3 2 9 0 4 7 5 1 6 8), 258085(0 7 4 2 5 8 6 1 9 3)
H-Axis, Max distance, Ratio,LCDM,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Dummy5,Dummy6,Dummy7,Dummy8,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
31,1124928,31,62,0,0,0,0,197,0,0,0,0,188,225,202,308,142945,136
30,1088640,30,60,0,0,0,0,183,0,0,0,0,186,221,193,299,143269,132
29,1052352,29,69,0,0,0,0,191,0,0,0,0,193,213,189,298,144807,136
28,1016064,28,58,0,0,0,0,212,0,0,0,0,178,214,219,291,142456,130
27,979776,27,57,0,0,0,0,185,0,0,0,0,180,215,191,292,142683,151
26,943488,26,66,0,0,0,0,182,0,0,0,0,178,212,186,294,141712,131
25,907200,25,61,0,0,0,0,190,0,0,0,0,187,211,191,322,142716,133
24,870912,24,61,0,0,0,0,189,0,0,0,0,181,213,193,290,141883,129
23,834624,23,96,0,0,0,0,218,0,0,0,0,176,213,193,295,141766,154
22,798336,22,93,0,0,0,0,193,0,0,0,0,194,222,190,290,142140,148
21,762048,21,70,0,0,0,0,183,0,0,0,0,175,217,185,289,141631,150
20,725760,20,58,0,0,0,0,187,0,0,0,0,199,239,222,305,141380,133
19,689472,19,59,0,0,0,0,255,0,0,0,0,197,284,271,364,141931,133
18,653184,18,61,0,0,0,0,184,0,0,0,0,183,212,193,290,140735,132
17,616896,17,90,0,0,0,0,201,0,0,0,0,176,219,189,320,140539,132
16,580608,16,58,0,0,0,0,189,0,0,0,0,180,213,236,331,141073,180
15,544320,15,54,0,0,0,0,181,0,0,0,0,178,209,188,290,140644,132
14,508032,14,66,0,0,0,0,188,0,0,0,0,183,208,196,289,141477,132
13,471744,13,65,0,0,0,0,222,0,0,0,0,194,219,190,297,139775,150
12,435456,12,64,0,0,0,0,196,0,0,0,0,185,215,191,328,141664,131
11,399168,11,59,0,0,0,0,185,0,0,0,0,173,215,186,292,140895,149
10,362880,10,63,0,0,0,0,221,0,0,0,0,186,226,204,293,139539,131
9,326592,9,58,0,0,0,0,180,0,0,0,0,186,280,192,284,139185,130
8,290304,8,56,0,0,0,0,184,0,0,0,0,183,213,190,285,139328,131
7,254016,7,64,0,0,0,0,181,0,0,0,0,182,217,192,312,140203,159
6,217728,6,58,0,0,0,0,208,0,0,0,0,198,234,216,301,140163,153
5,181440,5,114,0,0,0,0,229,0,0,0,0,184,221,228,317,140041,136
4,145152,4,58,0,0,0,0,245,0,0,0,0,183,218,212,306,139329,130
3,108864,3,56,0,0,0,0,183,0,0,0,0,178,212,184,284,139096,134
2,72576,2,61,0,0,0,0,193,0,0,0,0,185,221,190,282,139536,132
1,36288,1,57,0,0,0,0,192,0,0,0,0,214,219,225,325,139878,131
