LCDM,Ursem,Li et al.,Cheng,Tilahun,Salleh et al.,Osuna Enciso et al.
7.055818394751202e-10,0.16346631538784354,0.16346631538784354,0.24881740678451295,0.16346631538784362,0.24881740678451295,7.459335855686057e-10
6.90865062571255e-10,0.1584367083082393,0.1584367083082393,0.2289204575450947,0.15843670830823928,0.2289204575450947,1.6643501433314537e-09
6.668816316909905e-10,0.15145976841286438,0.15145976841286438,0.2099868451734104,0.15145976841286438,0.2099868451734104,1.2425779170953487e-10
7.371815615906468e-10,0.15315108677296124,0.15315108677296124,0.20987531161047382,0.15315108677296127,0.20987531161047382,1.3412239628324087e-10
7.319565245536214e-10,0.1525634011504694,0.1525634011504694,0.19833910374777763,0.15256340115046937,0.19833910374777763,3.500583707088989e-11
7.333411666598608e-10,0.1634925810004793,0.1634925810004793,0.24967132369299247,0.16349258100047928,0.24967132369299247,6.177997819241257e-10
7.570003910217642e-10,0.15783526549468013,0.15783526549468013,0.22528386819638116,0.15783526549468013,0.22528386819638116,2.1680863852059915e-10
7.4782340021127e-10,0.15874631326665478,0.15874631326665478,0.2282655455612047,0.15874631326665478,0.2282655455612047,4.4952710332135625e-11
7.017044068262776e-10,0.15733375683180095,0.15733375683180095,0.22897276131648403,0.15733375683180095,0.22897276131648403,7.121890200722913e-10
7.486735806724997e-10,0.16056066410151273,0.16056066410151273,0.2265273048870843,0.16056066410151273,0.2265273048870843,1.5203086978583365e-10
7.498394799499492e-10,0.16320158134397458,0.16320158134397458,0.24305144439695112,0.1632015813439746,0.24305144439695112,4.715445249334164e-10
7.452896291111216e-10,0.15562667341750908,0.15562667341750908,0.21917728805936573,0.15562667341750908,0.21917728805936573,2.1099285367484088e-10
7.37663524956747e-10,0.15406384465401401,0.15406384465401401,0.213191235758107,0.154063844654014,0.213191235758107,3.5689205093029144e-10
6.948991451626497e-10,0.16111258415379584,0.16111258415379584,0.23717648143918751,0.1611125841537958,0.23717648143918751,3.9002223630899217e-10
7.399348046623476e-10,0.14994698669012424,0.14994698669012424,0.20181070623083264,0.1499469866901242,0.20181070623083264,5.393406027810694e-11
8.437347752947937e-10,0.1593439108020607,0.1593439108020607,0.2302270132881478,0.15934391080206065,0.2302270132881478,1.2550726481249145e-10
8.254419196982313e-10,0.16140827998309604,0.16140827998309604,0.23970831655706187,0.1614082799830962,0.23970831655706187,3.73543610486043e-10
8.241773544625803e-10,0.15768242262615023,0.15768242262615023,0.22714447762781248,0.15768242262615018,0.22714447762781248,1.306653587179221e-10
8.436391835601322e-10,0.17186976196963064,0.17186976196963064,0.27407702884837937,0.17186976196963064,0.27407702884837937,2.298783521298133e-09
8.474063616368306e-10,0.16663552891898195,0.16663552891898195,0.2500512450220997,0.16663552891898198,0.2500512450220997,1.1491309046436205e-09
8.753887342002795e-10,0.15983617750434803,0.15983617750434803,0.22434173989455192,0.15983617750434803,0.22434173989455192,1.9547638475045177e-10
8.626974018611811e-10,0.16442435481580425,0.16442435481580425,0.24432794313638376,0.16442435481580425,0.24432794313638376,4.092875945246846e-10
8.744149134058695e-10,0.15880582870587406,0.15880582870587406,0.2305047596085155,0.15880582870587404,0.2305047596085155,1.1676058222618182e-10
8.926727697059841e-10,0.1675969622937638,0.1675969622937638,0.2549036975864459,0.16759696229376383,0.2549036975864459,5.047262654484524e-10
8.732921955831403e-10,0.1594777564935706,0.1594777564935706,0.2357441313388088,0.15947775649357063,0.2357441313388088,8.752210025020883e-11
8.418051184137429e-10,0.16059516719902253,0.16059516719902253,0.2331343137777304,0.1605951671990225,0.2331343137777304,4.403682157114302e-10
8.820848218244075e-10,0.15884999593110272,0.15884999593110272,0.2208078828437336,0.15884999593110274,0.2208078828437336,3.319930385257749e-10
8.783743763370952e-10,0.1610320768196294,0.1610320768196294,0.2346242669273148,0.1610320768196294,0.2346242669273148,1.7105830402385853e-10
8.919376975949138e-10,0.1647278509349141,0.1647278509349141,0.2475649725543141,0.1647278509349141,0.2475649725543141,2.772644121747262e-10
8.68312702434923e-10,0.17238343927629377,0.17238343927629377,0.27634583715381855,0.1723834392762937,0.27634583715381855,1.366792343708188e-09
8.745295812322764e-10,0.16421069086161924,0.16421069086161924,0.24873998245100892,0.16421069086161927,0.24873998245100892,5.970363088296053e-10
8.960683065357016e-10,0.16169074526596547,0.16169074526596547,0.23315359341298744,0.16169074526596547,0.23315359341298744,2.917671403837543e-10
8.255107781511655e-10,0.16820461290954936,0.16820461290954936,0.27384899353511627,0.16820461290954936,0.27384899353511627,2.000133200412969e-09
8.752509616625817e-10,0.16906745945298418,0.16906745945298418,0.258105491258749,0.16906745945298418,0.258105491258749,7.155029598842073e-11
8.629720912065289e-10,0.15872802888220122,0.15872802888220122,0.23606742718360554,0.15872802888220133,0.23606742718360554,2.1470137154688664e-09
8.74863315950923e-10,0.16229448770888935,0.16229448770888935,0.2395567410367019,0.16229448770888935,0.2395567410367019,3.089318183549858e-10
8.653108014271988e-10,0.16582958984602594,0.16582958984602594,0.24984540305631753,0.16582958984602594,0.24984540305631753,1.712373230194963e-10
8.684710124937681e-10,0.15917215755193934,0.15917215755193934,0.22574763546362564,0.15917215755193928,0.22574763546362564,3.37262412538176e-10
8.625853012249179e-10,0.1660518972576561,0.1660518972576561,0.25823720465415095,0.1660518972576561,0.25823720465415095,1.6398967725960854e-09
8.682305523503329e-10,0.16342809684906073,0.16342809684906073,0.23971261285813505,0.1634280968490607,0.23971261285813505,3.3576104368999597e-10
8.138591178152477e-10,0.166217064632204,0.166217064632204,0.26571300261286096,0.166217064632204,0.26571300261286096,3.060233522641229e-09
8.716355022105764e-10,0.1655690149034352,0.1655690149034352,0.2537158645244077,0.16556901490343523,0.2537158645244077,3.4254629617681203e-10
8.768982420046196e-10,0.16136722342260287,0.16136722342260287,0.23822820033021444,0.16136722342260285,0.23822820033021444,1.4074749030142972e-09
8.233154086517332e-10,0.1562009511463207,0.1562009511463207,0.22178725011106173,0.15620095114632074,0.22178725011106173,1.427046151314223e-10
8.838809991947647e-10,0.17063315246414654,0.17063315246414654,0.2778112742819966,0.17063315246414662,0.2778112742819966,2.2860832100798114e-09
8.696810147813743e-10,0.16247934791416999,0.16247934791416999,0.23396662824811404,0.16247934791416999,0.23396662824811404,7.400386148222718e-11
