Optimas, 10210(0 1 4 2 5 3 7 9 6 8), 1689280(4 6 9 1 2 3 7 8 0 5)
H-Axis, Max distance, Ratio,LCDM,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Dummy5,Dummy6,Dummy7,Dummy8,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
27,979776,27,109,0,0,0,0,352,0,0,0,0,332,424,370,490,179274,273
26,943488,26,122,0,0,0,0,335,0,0,0,0,339,406,361,494,177553,275
25,907200,25,116,0,0,0,0,352,0,0,0,0,346,426,372,520,180007,275
24,870912,24,126,0,0,0,0,349,0,0,0,0,337,421,368,512,177310,272
23,834624,23,116,0,0,0,0,339,0,0,0,0,344,417,356,507,179075,278
22,798336,22,119,0,0,0,0,356,0,0,0,0,354,412,372,497,176415,278
21,762048,21,118,0,0,0,0,350,0,0,0,0,340,432,375,495,176146,273
20,725760,20,139,0,0,0,0,388,0,0,0,0,366,408,402,524,177911,275
19,689472,19,125,0,0,0,0,347,0,0,0,0,360,417,375,499,181443,269
18,653184,18,112,0,0,0,0,340,0,0,0,0,349,412,347,488,178634,274
17,616896,17,111,0,0,0,0,341,0,0,0,0,339,419,353,488,178997,279
16,580608,16,112,0,0,0,0,338,0,0,0,0,347,424,369,517,178816,273
15,544320,15,119,0,0,0,0,377,0,0,0,0,340,420,371,493,182732,274
14,508032,14,124,0,0,0,0,357,0,0,0,0,350,405,353,518,180222,270
13,471744,13,121,0,0,0,0,341,0,0,0,0,346,413,379,499,178385,276
12,435456,12,109,0,0,0,0,335,0,0,0,0,332,410,369,496,181194,273
11,399168,11,106,0,0,0,0,349,0,0,0,0,337,416,364,591,177901,279
10,362880,10,108,0,0,0,0,338,0,0,0,0,348,418,358,492,176859,272
9,326592,9,112,0,0,0,0,340,0,0,0,0,331,412,354,493,177366,277
8,290304,8,112,0,0,0,0,369,0,0,0,0,362,445,385,518,179251,274
7,254016,7,115,0,0,0,0,347,0,0,0,0,335,421,370,529,177717,271
6,217728,6,125,0,0,0,0,350,0,0,0,0,346,417,376,522,179770,283
5,181440,5,125,0,0,0,0,362,0,0,0,0,346,411,361,483,178387,282
4,145152,4,112,0,0,0,0,336,0,0,0,0,376,443,384,480,175904,275
3,108864,3,136,0,0,0,0,344,0,0,0,0,371,443,401,513,175941,271
2,72576,2,112,0,0,0,0,340,0,0,0,0,331,409,361,472,176957,277
1,36288,1,121,0,0,0,0,335,0,0,0,0,336,428,356,487,178303,272
