Optimas, 421(0 4 3 5 1 6 2)
H-Axis, Max distance, Ratio,Ours+D,Ours-D,Li et al.+D,Li et al.-D,Cheng+D,Cheng-D,Salleh et al.+D,Salleh et al.-D,Zhao et al.+D,Zhao et al.-D,Osuna Enciso et al.+D,Osuna Enciso et al.-D
100,5040,100,0.015742736017802565,0.019438539304610734,16.26512442277658,14.662821845486585,0.9440633942328844,0.968308553068221,0.9072811059907844,0.9085303186022611,130540359,108846223,0.29730177875068026,0.29730177875068026
99,4989.6,99,0.01928507251957387,0.018042473399616253,16.281155857654486,14.664971823150239,0.9645064985072684,0.9644742274668028,0.9600155279503104,0.9672977624784856,134533413,107172317,0.29730177875068026,0.29730177875068026
98,4939.2,98,0.013421630012850147,0.018714529126151402,16.260444061051203,14.653217673622436,0.960018371340708,0.9548333724937356,0.9101352603298137,0.9286760092030957,127249641,105585969,0.29730177875068026,0.29730177875068026
97,4888.8,97,0.016423865143541695,0.019684130962326456,16.306807221686505,14.679698191784443,0.9023067934110868,0.9283454339572365,0.937007874015747,0.9468039468039471,122530576,100539584,0.29730177875068026,0.29730177875068026
96,4838.4,96,0.013995577527077082,0.019411708345309954,16.3098916107779,14.686181143818516,0.9452765056046435,0.9706452471776208,0.9302766199317921,0.9402289105553202,128304541,103131605,0.29730177875068026,0.29730177875068026
95,4788,95,0.015287363263841986,0.023257389293055895,16.275111336195522,14.660453955123959,0.919611033146632,0.9365680640930736,0.9498173428186885,0.9234916027368859,122237033,101333489,0.29730177875068026,0.29730177875068026
94,4737.6,94,0.01114475094066931,0.02018339499542507,16.277425202628244,14.654589358758567,0.9555343413075105,0.9641264959121608,0.9623015873015854,0.9370600414078677,123334831,100941159,0.29730177875068026,0.29730177875068026
93,4687.2,93,0.01906121925894541,0.01917517006802721,16.258858812750358,14.670996007574455,0.9534302308907184,0.9530358894976457,0.9130191842056246,0.9427294017457953,123300219,101144771,0.29730177875068026,0.29730177875068026
92,4636.8,92,0.013507023179642226,0.01809689153439154,16.282962983848343,14.658971052397098,0.9224330058488489,0.935794703888795,0.9272521673577084,0.9304456476468139,127033838,99900590,0.29730177875068026,0.29730177875068026
91,4586.4,91,0.01434728596382732,0.021456547987160228,16.200996905761023,14.60308206525048,0.9544332588358618,0.9527949673993675,0.9422326307572212,0.9251901944209637,127071821,101452773,0.29730177875068026,0.29730177875068026
90,4536,90,0.013200400933320186,0.017205468496922578,16.21948521858975,14.612186936492199,0.9490419681050303,0.9713178391021977,0.9251519756838903,0.9343283582089553,119486769,97526761,0.29730177875068026,0.29730177875068026
89,4485.6,89,0.014105294291629695,0.014600302840434417,16.24845563864115,14.619638539721006,0.935270148855054,0.9750561349234088,0.9216710182767623,0.9304677623261695,123089498,98028410,0.29730177875068026,0.29730177875068026
88,4435.2,88,0.014165120593692024,0.017823024271436973,16.227878635220755,14.626060345948787,0.9402395096395262,0.9591320072332729,0.9013824884792616,0.9370923627182834,114031512,91475848,0.29730177875068026,0.29730177875068026
87,4384.8,87,0.009099009974360115,0.014844271041750026,16.26911155405906,14.637438941483932,0.8996919372280282,0.9226557604142629,0.9186068169119006,0.9393229721098574,117890734,93639086,0.29730177875068026,0.29730177875068026
86,4334.4,86,0.013200932546931816,0.016520121562138373,16.208992266878997,14.591263402102388,0.8814527733332357,0.9130262708014241,0.8763110307414103,0.8954008954008954,111591766,92327126,0.29730177875068026,0.29730177875068026
85,4284,85,0.013740182063163424,0.01622364995380868,16.222039561036137,14.614015642793332,0.9387386896697276,0.9075492856271321,0.9561488988501256,0.9105827898169575,110268559,92480007,0.29730177875068026,0.29730177875068026
84,4233.6,84,0.010381880024737168,0.012789068795562302,16.272753256555333,14.631103626321448,0.9457062287208359,0.9455870216739795,0.9255796559461477,0.9558599695585996,108172275,88144587,0.2860624212274257,0.2860624212274257
83,4183.2,83,0.011408438546886519,0.01499283924095954,16.192122110063032,14.629682163940538,0.951403432371978,0.9392003367003382,0.9526451357241917,0.8906122448979593,112390197,87998605,0.2860624212274257,0.2860624212274257
82,4132.8,82,0.015280207321023647,0.01508011099176513,16.16196532485349,14.559211883361822,0.9307077775039297,0.9582487546089274,0.9454123112659681,0.9449560933818804,113626125,90055605,0.2860624212274257,0.2860624212274257
81,4082.4,81,0.011140828601146065,0.014243484168296199,16.202819059315587,14.593250653878886,0.9271516041465981,0.941317148292419,0.928476063322525,0.9289915966386557,105658811,85737411,0.2860624212274257,0.2860624212274257
80,4032,80,0.010258942286592052,0.016057872424332056,16.173661398202096,14.551306865228838,0.9325440976933553,0.923105664325214,0.9373297002724783,0.9218248018847717,106929499,88322771,0.2860624212274257,0.2860624212274257
