LCDM,Ursem,Li et al.,Cheng,Tilahun,Salleh et al.,Osuna Enciso et al.
8.804214280855697e-08,0.2865053987350578,0.2865053987350578,0.8487855471438409,0.28650539873505776,0.8487855471438409,1.9796893713686652e-08
5.570310096500976e-08,0.2844108882553464,0.2844108882553464,0.7924668663495236,0.2844108882553464,0.7924668663495236,2.0409701088972095e-08
9.308197612053236e-08,0.28648421474930125,0.28648421474930125,0.8459135127749691,0.28648421474930125,0.8459135127749691,2.159437661026414e-08
9.362117855083103e-08,0.28745430175378045,0.28745430175378045,0.9114260635496514,0.28745430175378045,0.9114260635496514,1.989288968304448e-08
5.6917562671984774e-08,0.28725318384202003,0.28725318384202003,0.923479509809016,0.28725318384202003,0.923479509809016,1.9100729509021836e-08
5.625886619531911e-08,0.2870687293745879,0.2870687293745879,0.891106392746471,0.28706872937458794,0.891106392746471,2.105694501556912e-08
5.670284332119319e-08,0.28548348932882045,0.28548348932882045,0.8756169623846703,0.28548348932882045,0.8756169623846703,2.001420669394156e-08
5.5322760012639725e-08,0.2854394534643252,0.2854394534643252,0.8534380009950797,0.28543945346432525,0.8534380009950797,2.074859051642318e-08
5.647486977249069e-08,0.2849535329078135,0.2849535329078135,0.8112076607568142,0.2849535329078135,0.8112076607568142,2.025696146705525e-08
5.619052853966985e-08,0.2848111301636406,0.2848111301636406,0.7809113313040489,0.2848111301636407,0.7809113313040489,2.02088799367947e-08
5.5867289935631173e-08,0.28431614757720625,0.28431614757720625,0.7642619062598297,0.28431614757720625,0.7642619062598297,1.890747765782167e-08
3.7944885321015197e-08,0.2819376182637486,0.2819376182637486,0.7348695785534629,0.2819376182637486,0.7348695785534629,1.8955949384134095e-08
2.8093484319522865e-08,0.28284085766532635,0.28284085766532635,0.6963526742038749,0.28284085766532635,0.6963526742038749,1.4224584140114385e-08
5.693870616931381e-08,0.2830094262533199,0.2830094262533199,0.7271253386222911,0.2830094262533199,0.7271253386222911,1.5127853656061228e-08
3.945979705889609e-08,0.27894158106535516,0.27894158106535516,0.663416532230579,0.2789415810653551,0.663416532230579,1.4047855150626062e-08
1.6640717653982666e-08,0.27626511488545036,0.27626511488545036,0.6253192451925169,0.27626511488545036,0.6253192451925169,1.3745832799806457e-08
2.9015461337058858e-08,0.2719737190110433,0.2719737190110433,0.6319987236472339,0.27197371901104334,0.6319987236472339,1.5021616652403246e-08
2.806427953318124e-08,0.27196567484966977,0.27196567484966977,0.6312761252665842,0.27196567484966977,0.6312761252665842,9.493052086218577e-09
2.1806084071306437e-08,0.27314805744860005,0.27314805744860005,0.6286597852923022,0.2731480574486,0.6286597852923022,8.258058849387921e-09
2.7723290347461944e-08,0.27269880989969947,0.27269880989969947,0.6017988811862639,0.27269880989969947,0.6017988811862639,8.682674012928025e-09
2.1834079092125905e-08,0.2759995331381432,0.2759995331381432,0.6667519111289265,0.2759995331381432,0.6667519111289265,1.605559947201002e-08
2.815536856105351e-08,0.2727003215174046,0.2727003215174046,0.630149461494948,0.2727003215174046,0.630149461494948,1.100879220486682e-08
2.9125440254641472e-08,0.2693205912427487,0.2693205912427487,0.6299950947225983,0.26932059124274865,0.6299950947225983,9.833196694952573e-09
2.9044949179923324e-08,0.2706533420604058,0.2706533420604058,0.6044686714760477,0.27065334206040587,0.6044686714760477,5.986991259506378e-09
2.7520029960833346e-08,0.27368641950700784,0.27368641950700784,0.6468852891930464,0.27368641950700784,0.6468852891930464,1.5806121819427027e-08
2.1634606693218774e-08,0.2672841379464887,0.2672841379464887,0.5961977482333214,0.2672841379464887,0.5961977482333214,9.711482213194502e-09
2.118021789318141e-08,0.26854923990927054,0.26854923990927054,0.6265419927670104,0.2685492399092705,0.6265419927670104,1.1778087427668119e-08
2.7947480244886436e-08,0.2719453980307971,0.2719453980307971,0.6075367817955785,0.2719453980307971,0.6075367817955785,1.0232258628798093e-08
1.710587478688726e-08,0.27145581762170606,0.27145581762170606,0.6327333505478715,0.27145581762170606,0.6327333505478715,1.5483013521280058e-08
2.826376620684563e-08,0.2731700789635449,0.2731700789635449,0.6367418528175268,0.2731700789635449,0.6367418528175268,1.0504628812704116e-08
1.6792451273534597e-08,0.2709438845344834,0.2709438845344834,0.6352117170352862,0.2709438845344834,0.6352117170352862,9.798204308198905e-09
1.3723459107346728e-08,0.2634970597042113,0.2634970597042113,0.6156821822561042,0.2634970597042113,0.6156821822561042,1.439684373254216e-08
1.3764911059554236e-08,0.26988279528666115,0.26988279528666115,0.6271015645123355,0.26988279528666115,0.6271015645123355,1.3131897592948365e-08
2.1754525349542177e-08,0.26906711513892206,0.26906711513892206,0.6068163145857944,0.26906711513892206,0.6068163145857944,7.976748326782242e-09
1.697650959681434e-08,0.27187683445906086,0.27187683445906086,0.6386953743496945,0.2718768344590608,0.6386953743496945,1.3089451198865253e-08
1.1526964966066977e-08,0.2683086019390656,0.2683086019390656,0.5884742207514944,0.2683086019390656,0.5884742207514944,1.1169732110115124e-08
