Optimas, 129000(0 4 2 7 3 1 5 6 8 9), 135650(0 4 3 9 5 6 1 7 2 8), 486002(1 4 0 6 2 3 5 8 7 9), 324738(0 9 1 5 2 3 8 4 6 7), 1120434(3 0 8 4 1 9 7 2 5 6)
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Dummy5,Dummy6,Dummy7,Dummy8,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
28,1016064,28,70,0,0,0,0,206,0,0,0,0,223,249,195,334,144592,132
27,979776,27,63,0,0,0,0,218,0,0,0,0,185,223,204,291,143716,134
26,943488,26,82,0,0,0,0,187,0,0,0,0,182,212,185,289,142195,132
25,907200,25,55,0,0,0,0,182,0,0,0,0,179,214,189,288,141559,132
24,870912,24,64,0,0,0,0,182,0,0,0,0,177,214,185,287,142406,132
23,834624,23,63,0,0,0,0,188,0,0,0,0,178,221,185,291,142094,133
22,798336,22,64,0,0,0,0,220,0,0,0,0,179,225,194,288,143454,133
21,762048,21,67,0,0,0,0,189,0,0,0,0,180,212,189,286,143878,132
20,725760,20,75,0,0,0,0,183,0,0,0,0,182,211,191,285,143192,130
19,689472,19,61,0,0,0,0,183,0,0,0,0,176,207,188,285,141306,133
18,653184,18,53,0,0,0,0,175,0,0,0,0,174,204,184,283,140001,131
17,616896,17,52,0,0,0,0,176,0,0,0,0,171,206,184,285,139630,133
16,580608,16,53,0,0,0,0,177,0,0,0,0,169,202,186,285,139405,131
15,544320,15,50,0,0,0,0,173,0,0,0,0,171,203,181,282,138954,130
14,508032,14,61,0,0,0,0,180,0,0,0,0,172,208,184,284,138788,131
13,471744,13,53,0,0,0,0,177,0,0,0,0,169,207,185,282,140721,128
12,435456,12,53,0,0,0,0,178,0,0,0,0,171,204,183,281,139625,131
11,399168,11,58,0,0,0,0,181,0,0,0,0,181,213,187,289,139849,135
10,362880,10,55,0,0,0,0,188,0,0,10,0,190,220,193,283,137736,132
9,326592,9,55,0,0,0,0,179,0,0,0,0,179,211,199,283,139021,131
8,290304,8,63,0,0,0,0,182,0,0,0,0,184,211,184,279,140168,128
7,254016,7,52,0,0,0,0,171,0,0,0,0,168,201,179,274,139453,131
6,217728,6,57,0,0,0,0,175,0,0,0,0,170,203,183,272,139351,129
5,181440,5,68,0,0,0,0,179,0,0,0,0,178,214,188,274,138626,130
4,145152,4,63,0,0,0,0,182,0,0,0,0,179,212,195,278,139327,129
3,108864,3,87,0,0,0,0,217,0,0,0,0,184,204,182,276,140481,129
2,72576,2,61,0,0,0,0,182,0,0,0,0,174,210,187,293,139409,132
1,36288,1,52,0,0,0,0,175,0,0,0,0,174,211,186,277,138945,132
