LCDM,Ursem,Li et al.,Cheng,Tilahun,Salleh et al.,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Zhao et al.,Osuna Enciso et al.
9.845795502724553e-07,0.5504030311096243,0.5504030311096243,0.7775355614973263,0.5504030311096243,0.7775355614973263,231337.0,194269.0,0.7783423014179472,1.906440404040404,109107168379737160185793075143842304793435001303349823036148233850636,0.000151000390625
1.5082420085381087e-06,0.5481688151922273,0.5481688151922273,0.7569287450027438,0.5481688151922274,0.7569287450027438,229151.0,185870.0,0.7744718478553074,1.8889858585858585,103555009357928157451538331067090639679835811317567723726691193731674,0.00014533913478161626
9.881592724488593e-07,0.5526933207897241,0.5526933207897241,0.7719898552256158,0.552693320789724,0.7719898552256158,231436.0,187602.0,0.7814327091010344,1.9079111111111111,105498276279835871536277244005703539801481056145509241402889200603682,0.00014570609949866192
1.015855994442503e-06,0.5541485152273976,0.5541485152273976,0.7784845840605003,0.5541485152273976,0.7784845840605003,230221.0,194189.0,0.7828946622434342,1.8978666666666668,104110528113094531357728104113352103351495892367244988244053313785058,0.00014779790133926144
5.04274570445496e-07,0.5484279505199617,0.5484279505199617,0.7721011062688565,0.5484279505199617,0.7721011062688565,228872.0,183727.0,0.7754278240251808,1.886319191919192,114976300830693633191501844246695642312315154924064283429457474608138,0.00014955750802915822
1.122299229253729e-06,0.5537269479985214,0.5537269479985214,0.797439329633257,0.5537269479985213,0.797439329633257,231304.0,187638.0,0.7820882838690847,1.9060525252525249,109822709325774732470896582404374769076126141250804343842778754461818,0.00014734882848580267
1.2809465913329888e-06,0.5533669796371314,0.5533669796371314,0.7682399306376604,0.5533669796371314,0.7682399306376604,230940.0,189045.0,0.7814362869333218,1.9022868686868686,107378945935591079453553509166125679726842348896461102652732813018576,0.00014728341278556046
9.709116369608483e-07,0.5611792830624056,0.5611792830624056,0.7958421750663134,0.5611792830624055,0.7958421750663134,230985.0,188494.0,0.7917235666537915,1.903579797979798,108234386560271727161731581808605222170374458144664362428330095325732,0.00015516317920215213
1.0178228106602513e-06,0.552370308564269,0.552370308564269,0.7433308873763318,0.552370308564269,0.7433308873763318,230904.0,188488.0,0.7798479364885719,1.9032808080808081,119408304328847874502013660333521924827161811004533205762490286482706,0.00014801384718475524
2.0038482723214735e-06,0.5604976267320179,0.5604976267320179,0.8191180887372016,0.5604976267320179,0.8191180887372016,232415.0,190645.0,0.7918021657430715,1.9154909090909091,116264919849484010616215926459429480227865085395329987189153757347556,0.0001464438754849915
2.0029250921832127e-06,0.5606477828869059,0.5606477828869059,0.7898753090966486,0.5606477828869059,0.7898753090966486,233183.0,193807.0,0.7922740603966265,1.9224727272727273,118652230104779596374134516862707657426852275413577331047163526368094,0.00016161218852266
4.985672738441466e-07,0.557959137748053,0.557959137748053,0.7737747272822171,0.5579591377480528,0.7737747272822171,231451.0,186617.0,0.7881142103800562,1.9081696969696973,119647496250335207930418357844188377007539904554096640276294157108978,0.0001488575127764686
