Optimas, 10210(0 1 4 2 5 3 7 9 6 8), 1689280(4 6 9 1 2 3 7 8 0 5), 486002(1 4 0 6 2 3 5 8 7 9), 324738(0 9 1 5 2 3 8 4 6 7), 1120434(3 0 8 4 1 9 7 2 5 6)
H-Axis, Max distance, Ratio,LCDM,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Dummy5,Dummy6,Dummy7,Dummy8,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
28,1016064,28,62,0,0,0,0,187,0,0,0,0,179,221,197,294,142733,143
27,979776,27,64,0,0,0,0,217,0,0,0,0,175,221,203,328,143298,129
26,943488,26,61,0,0,0,0,186,0,0,0,0,179,222,194,303,142191,134
25,907200,25,58,0,0,0,0,185,0,0,0,0,178,220,195,301,142854,153
24,870912,24,57,0,0,0,0,184,0,0,0,0,178,213,190,296,142411,149
23,834624,23,93,0,0,0,0,189,0,0,0,0,182,215,196,326,141802,133
22,798336,22,130,0,0,0,0,218,0,0,0,0,180,213,194,296,142850,131
21,762048,21,91,0,0,0,0,196,0,0,0,0,193,227,213,302,141927,134
20,725760,20,73,0,0,0,0,197,0,0,0,0,181,220,204,321,142334,164
19,689472,19,70,0,0,0,0,190,0,0,0,0,183,219,191,304,141929,137
18,653184,18,60,0,0,0,0,187,0,0,0,0,175,213,196,299,141290,132
17,616896,17,58,0,0,0,0,188,0,0,0,0,178,219,190,299,141713,136
16,580608,16,59,0,0,0,0,196,0,0,0,0,178,213,196,299,141072,153
15,544320,15,94,0,0,0,0,182,0,0,0,0,177,254,186,295,140807,183
14,508032,14,63,0,0,0,0,184,0,0,0,0,192,212,194,296,140964,134
13,471744,13,61,0,0,0,0,189,0,0,0,0,178,211,189,286,140660,151
12,435456,12,66,0,0,0,0,207,0,0,0,0,177,215,193,282,140516,132
11,399168,11,56,0,0,0,0,181,0,0,0,0,176,211,189,285,141019,131
10,362880,10,71,0,0,0,0,180,0,0,0,0,191,210,190,291,140374,131
9,326592,9,63,0,0,0,0,200,0,0,0,0,176,211,191,295,140331,151
8,290304,8,53,0,0,0,0,197,0,0,0,0,180,214,188,287,139446,130
7,254016,7,61,0,0,0,0,183,0,0,0,0,185,238,194,298,140034,132
6,217728,6,58,0,0,0,0,184,0,0,0,0,183,209,186,283,139598,130
5,181440,5,58,0,0,0,0,182,0,0,0,0,173,209,193,280,140449,131
4,145152,4,68,0,0,0,0,197,0,0,0,0,193,214,213,296,140402,164
3,108864,3,63,0,0,0,0,185,0,0,0,0,178,218,200,310,139731,134
2,72576,2,60,0,0,0,0,191,0,0,0,0,193,210,186,278,140597,133
1,36288,1,61,0,0,0,0,211,0,0,0,0,184,213,187,280,140092,166
