Optimas, 10210(0 1 4 2 5 3 7 9 6 8), 1689280(4 6 9 1 2 3 7 8 0 5), 486002(1 4 0 6 2 3 5 8 7 9), 324738(0 9 1 5 2 3 8 4 6 7), 1120434(3 0 8 4 1 9 7 2 5 6), 1699998(4 7 1 3 0 8 5 2 6 9), 2117037(5 8 4 0 2 9 7 3 6 1), 1406637(3 8 9 0 5 7 6 2 4 1), 1204758(3 2 9 0 4 7 5 1 6 8), 258085(0 7 4 2 5 8 6 1 9 3)
H-Axis, Max distance, Ratio,LCDM,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
38,1378944,38,74,0,0,0,0,189,48951,448260,33348,39557,176,201,465,249,69205,139
37,1342656,37,80,0,0,0,0,185,48348,446521,34402,39232,169,240,208,246,68201,145
36,1306368,36,72,0,0,0,0,215,48898,446178,34706,39862,167,215,223,249,68350,139
35,1270080,35,72,0,0,0,0,172,47895,443362,34109,38568,171,208,176,251,67529,139
34,1233792,34,123,0,0,0,0,184,46758,446625,33926,38048,175,217,200,254,67605,141
33,1197504,33,72,0,0,0,0,181,48764,446087,32847,39790,173,235,179,293,68462,139
32,1161216,32,72,0,0,0,0,169,49891,446963,34380,40745,246,300,174,240,69322,137
31,1124928,31,80,0,0,0,0,171,48114,446695,34000,39750,167,201,184,241,68400,144
30,1088640,30,74,0,0,0,0,176,48654,448562,34359,38566,168,228,188,253,68165,137
29,1052352,29,69,0,0,0,0,209,47212,444388,33383,38621,169,200,215,246,67474,139
28,1016064,28,76,0,0,0,0,172,48592,445923,34300,39910,173,211,183,255,67877,138
27,979776,27,74,0,0,0,0,200,48699,446041,34278,39751,173,238,184,246,68567,144
26,943488,26,71,0,0,0,0,172,47556,444749,34585,38878,170,207,178,237,68049,140
25,907200,25,83,0,0,0,0,172,47926,447149,34565,38835,168,208,183,249,68449,140
24,870912,24,133,0,0,0,0,194,49282,446108,34999,39957,192,233,209,257,69164,154
23,834624,23,110,0,0,0,0,201,49367,444814,33906,39812,170,207,221,262,68635,143
22,798336,22,77,0,0,0,0,189,48724,447809,35403,39296,184,393,190,263,68613,150
21,762048,21,77,0,0,0,0,176,49139,447910,34949,40218,173,230,177,273,69005,138
20,725760,20,88,0,0,0,0,392,49811,446422,33574,40626,195,205,179,249,68877,137
19,689472,19,76,0,0,0,0,178,48485,447060,34460,39707,172,200,223,252,67976,137
18,653184,18,70,0,0,0,0,173,47958,446546,34359,39115,176,243,187,283,68024,142
17,616896,17,53,0,0,0,0,164,47928,445154,33728,39324,168,208,174,247,67618,138
