Optimas, 421(0 4 3 5 1 6 2)
H-Axis, Max distance, Ratio,Normal: 42 clusters,84 clusters,126 clusters,168 clusters,210 clusters,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,5040,100,0.019444979099875772,0.00779106655423561,0.004332797880238431,0.002807536385929779,0.0020894469549288543,16.301330391973245,476361.92,410416.38,0.8637950807625068,0.8570665950590763,16.301330391973245,0.9587055480928021,16.301330391973245,0.9428032298518046,134538388.26,0.2973017787506805
99,4989.6,99,0.019831912224483463,0.007802224410079118,0.004358987949703638,0.002869924564982688,0.0020769802873951896,16.303297083546354,476378.58,410346.04,0.8639126246011236,0.8570972431077695,16.303297083546354,0.956299939704378,16.303297083546354,0.9410268415417772,132422605.82,0.2973017787506805
98,4939.2,98,0.019015171244997096,0.007806169621449046,0.0043488262093119715,0.0028173793817339605,0.0020328890444339027,16.302866233620215,476329.54,410295.1,0.8638468834120833,0.8570041174364484,16.302866233620215,0.9555159229850464,16.302866233620215,0.940240628915771,130900737.4,0.2973017787506805
97,4888.8,97,0.019296475869174504,0.007570074868013743,0.004298998928495665,0.0027300582811720974,0.001973869339129068,16.299291418352283,476314.72,410365.98,0.8636594844854012,0.8569717508055854,16.299291418352283,0.9557395807002164,16.299291418352283,0.9457370227492058,129662238.22,0.2973017787506805
96,4838.4,96,0.018782010093973588,0.00734272065641846,0.004143545175069526,0.0026991026358131913,0.0019899071399953347,16.297154666305193,476318.08,410387.1,0.8635631867700441,0.856990583601862,16.297154666305193,0.9575982927783099,16.297154666305197,0.9423454156998102,128825469.22,0.2973017787506805
95,4788,95,0.019250401211115944,0.007680629657638976,0.004240618359190814,0.0027664759872902183,0.0018878453629964423,16.296069257541077,476226.44,410230.96,0.8633812549986463,0.8568226638023633,16.296069257541077,0.9549546441723167,16.29606925754108,0.9419144490444566,127806923.82,0.2973017787506805
94,4737.6,94,0.01908687065094153,0.007497734234464411,0.004191250966906355,0.0028692281578886264,0.0019654320181528846,16.28866203069296,476124.34,410368.54,0.8630056722566518,0.8566417114214105,16.28866203069296,0.957890039787488,16.28866203069296,0.944765440537579,126487477.1,0.2973017787506805
93,4687.2,93,0.0186589843645497,0.007607732371934159,0.0042305900920642575,0.002762932541134558,0.001962693105751725,16.284933592570965,475881.1,410235.86,0.8625460523010027,0.8561951306838524,16.284933592570965,0.951663582511042,16.284933592570965,0.93973530789761,124555811.1,0.2973017787506805
92,4636.8,92,0.018312167022327363,0.0070460566427267635,0.003919729449002664,0.0026165578220686465,0.001825559197659844,16.277374626356423,475713.8,410197.06,0.8619762502207833,0.8558874686716789,16.277374626356423,0.9501336199404844,16.277374626356426,0.9369379240535188,122744716.58,0.2973017787506805
91,4586.4,91,0.017826808598799326,0.00713064678670581,0.00397524603256877,0.0026108977106281007,0.0018077011120178781,16.27525449556236,475662.66,410240.64,0.8618424402419393,0.855807626208378,16.27525449556236,0.9458235511179497,16.27525449556236,0.9377841360754045,121530752.96,0.2973017787506805
90,4536,90,0.017943287215875556,0.006861069552727785,0.003938997598807569,0.002548583483456711,0.0018706703578396733,16.272658258544066,475603.54,410218.42,0.8616720382138641,0.8557041890440388,16.272658258544066,0.945855798329326,16.27265825854407,0.9309439783859965,120650319.28,0.2973017787506805
89,4485.6,89,0.017982122703761202,0.0071732639083469255,0.004076315397759935,0.0025905223012568945,0.0018635997069483008,16.266515175951973,475459.8,410191.62,0.861266331987555,0.8554384174722517,16.266515175951973,0.950404886480955,16.266515175951973,0.9363249163054107,118855682.94,0.2973017787506805
88,4435.2,88,0.017955569439552482,0.007139256495807928,0.0039993454686913805,0.0026005466717821174,0.0018499177426707862,16.259889097305383,475202.14,410229.92,0.8607651670647688,0.8549727891156462,16.259889097305383,0.9457514089184097,16.259889097305383,0.9264209644830023,118249202.48,0.2973017787506805
87,4384.8,87,0.016969437598494466,0.0070596044808113765,0.003851697456490343,0.002570791724238148,0.0017750139728228186,16.24737102496569,474908.78,410102.28,0.8599150244180309,0.8544554958825635,16.24737102496569,0.9431425037347259,16.247371024965695,0.929368646924177,116839335.2,0.2973017787506805
86,4334.4,86,0.017587943871207934,0.0067195463718446365,0.003876185452245495,0.0025356756458592665,0.0018559488812457548,16.249271316339417,474570.12,410116.3,0.8596328434230008,0.8538455424274973,16.249271316339417,0.9466069533896124,16.249271316339414,0.9325250774720198,115259488.58,0.2973017787506805
85,4284,85,0.01761183232391158,0.006856740005367795,0.0038132564424819488,0.0026052716604188335,0.001789649930011228,16.23508594274439,474241.72,410078.38,0.8585967904314658,0.8532583243823845,16.23508594274439,0.9402078680028019,16.23508594274439,0.9295958868576961,113429576.74,0.29640263014882007
84,4233.6,84,0.016561287592848372,0.006920529784289653,0.0037310603418450033,0.0025732468634237543,0.0018575918750041256,16.214122710886688,474165,410048.52,0.8574582688760337,0.853118367346939,16.214122710886688,0.9387985977580466,16.214122710886688,0.9302406930991053,112573622.28,0.2860624212274257
83,4183.2,83,0.01616096289548706,0.006709353776261773,0.0036622543451060945,0.002466558921732608,0.0017875086146642142,16.21691194412093,474072.26,409976.96,0.8574518815064935,0.8529539921231649,16.21691194412093,0.9366620396531476,16.21691194412093,0.9281073640183279,111294596.34,0.2860624212274257
82,4132.8,82,0.01623704544958169,0.006402817380952168,0.003640946025538728,0.0024772487167272796,0.0017495035898258948,16.20334006546853,474081.46,409983.58,0.8566573847571063,0.852960329394916,16.20334006546853,0.9348867334822444,16.203340065468534,0.9261882949855307,110093285.02,0.2860624212274257
81,4082.4,81,0.016113664778179868,0.006433223988513501,0.0036042868125706895,0.0024514271946422155,0.0017532573449014694,16.19006395142872,474039.14,410011.94,0.8557933306360311,0.8528797350519155,16.19006395142872,0.9351236971222465,16.190063951428723,0.9260784723424184,108784597.6,0.2860624212274257
80,4032,80,0.01612247854943109,0.006359648043907975,0.0035542665168336878,0.002367047425881529,0.0017580533130866593,16.1803753591885,473970.92,409896.3,0.8551156199017558,0.8527513784461155,16.1803753591885,0.933028743305329,16.180375359188503,0.921720301047923,107117360.44,0.2860624212274257
79,3981.6,79,0.015713960812535347,0.0061978442523586055,0.003590783898260831,0.0023460759136666783,0.0016909592259002058,16.153740697042096,473736.92,409854.08,0.8535484679589953,0.8523472968134622,16.153740697042096,0.9363146456615626,16.153740697042096,0.9204577799526587,105992295.7,0.2860624212274257
