Optimas, 506(0 5 2 1 4 3 6), 3025(4 1 2 0 3 6 5), 1680(2 3 0 1 4 5 6), 2147(2 6 5 1 4 3 0)
H-Axis, Max distance, Ratio,Normal: 42 clusters,84 clusters,126 clusters,168 clusters,210 clusters,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
90,4536,90,0.017715921919213184,0.00715213480253298,0.003988200369681395,0.0026281070467352435,0.0019241543018724265,16.301335203211995,475957.18,410106.46,0.8632974343059925,0.8563318295739347,16.301335203211995,0.947648042366316,16.301335203212,0.9365551020800296,121024114.3,0.2973017787506805
89,4485.6,89,0.018098152588482515,0.00706404019550677,0.004103785337388375,0.002593526083530029,0.0018496544742695705,16.298766402251662,475785.44,410196.78,0.8629447486598926,0.8560229860365198,16.298766402251662,0.947231987123064,16.29876640225167,0.9329520683187443,119065016.34,0.2973017787506805
88,4435.2,88,0.017885919563247924,0.006885311833509092,0.004056934195444107,0.002620416651089354,0.0018342373111000124,16.297255955219168,475648.44,410168.94,0.8627185924739663,0.8557751521661296,16.297255955219168,0.9421119979682847,16.297255955219168,0.9341219092974972,118570479.98,0.2973017787506805
87,4384.8,87,0.017405804907245886,0.006891114523205561,0.0037925426774988225,0.002544623415792588,0.0018099357719357756,16.296962058832182,475515.28,410076.4,0.8624558983690591,0.8555247046186897,16.296962058832182,0.9382127861748094,16.296962058832186,0.9295118330993638,116874474.04,0.2973017787506805
86,4334.4,86,0.01688745174844674,0.006904221634563565,0.003933059666281042,0.0025202794281769443,0.0018754923953945056,16.294568361214548,475459.28,410151.82,0.8622969448889312,0.855438560687433,16.294568361214548,0.9416181726488999,16.29456836121455,0.9353772445388023,115908497.32,0.2973017787506805
85,4284,85,0.017346828867100556,0.006811861750782484,0.0038254158209313715,0.0025101294089508535,0.0018357597336158122,16.30002730777337,475220.58,410091.6,0.8622082795388722,0.8550034729681343,16.30002730777337,0.9395166842056948,16.30002730777337,0.9306341685254488,113985568.58,0.2973017787506805
84,4233.6,84,0.017450857351808707,0.0067938026295755564,0.0039001227071063767,0.002473755387470784,0.0017941693326627738,16.29265671922901,474949.84,410096.18,0.8614739214976146,0.8545201575366989,16.29265671922901,0.9297973313519209,16.29265671922901,0.9286862102304216,112517030.36,0.2973017787506805
83,4183.2,83,0.01698982718991372,0.00651029489086399,0.00376910017720323,0.002528687151570088,0.0017861709916789825,16.293351247783207,474897.06,410074.26,0.8615077258389529,0.8544259577515219,16.293351247783207,0.9345438358276834,16.293351247783207,0.9294134264249848,112007731.5,0.2973017787506805
82,4132.8,82,0.016769348243479764,0.006727426809074687,0.0038869577854743096,0.0025021487654376894,0.0017646134429722476,16.292028406213753,474727.06,410049.18,0.8611212087863898,0.8541161117078413,16.292028406213753,0.9296315712173788,16.292028406213753,0.9292733565736555,110851026.42,0.2973017787506805
81,4082.4,81,0.016216399969005958,0.006665532144531636,0.003827772568661925,0.0025004310784764814,0.0017582204858789365,16.29208800460935,474581.22,410102.74,0.8608411659362483,0.8538534192624416,16.29208800460935,0.932594306463279,16.292088004609354,0.9233072419305978,109359945.86,0.2973017787506805
80,4032,80,0.01611806953032464,0.006394234476311002,0.0037618663090471073,0.0024618822854709952,0.0017300119674738676,16.29017165497144,474364.14,410032.92,0.8606679491351553,0.8534701396348012,16.29017165497144,0.9304394940034356,16.29017165497144,0.9231623085369149,108911208.64,0.2973017787506805
79,3981.6,79,0.016105809832737298,0.006463785327938845,0.0036467693499202206,0.0024258596288094627,0.001742502939354058,16.291602152858147,474220.56,409954.44,0.860422278993981,0.8532058002148226,16.291602152858147,0.9279239829675315,16.291602152858154,0.9254594539953238,107584254.84,0.2973017787506805
78,3931.2,78,0.015612402603300643,0.006386629798013243,0.0036629776027118804,0.0024141965611137904,0.0017421600913270687,16.282530637813664,474046.98,410003.74,0.8597070830613442,0.8528903687790907,16.282530637813664,0.9305852989954587,16.282530637813664,0.9200386726903806,106262395.96,0.2973017787506805
77,3880.8,77,0.015948896441393218,0.006340805624520971,0.0036293022610756594,0.002410921245147847,0.0016820230017280404,16.28596526552998,473965.58,409932.14,0.8596309759293643,0.8527432509846042,16.28596526552998,0.9258363394059469,16.28596526552998,0.9163508451733209,105591639.14,0.2973017787506805
76,3830.4,76,0.015776627465831604,0.0060773404925329845,0.003478833657323201,0.002313229436898692,0.0016783624474151942,16.284624630273715,473681.5,409887.06,0.8591467808400601,0.8522347654851414,16.284624630273715,0.9251615438818768,16.28462463027372,0.9180796764544745,103704846.22,0.2973017787506805
75,3780,75,0.015360587226478244,0.006125906698370497,0.00348995052005725,0.002327723831764041,0.0016516442783800773,16.28241755475096,473607.54,409922.7,0.8587901707508103,0.8521084496956678,16.28241755475096,0.9258628366572884,16.28241755475096,0.9181725359490379,102609776.84,0.2973017787506805
74,3729.6,74,0.015358606740734033,0.005998414113900148,0.0034997361517081853,0.0022497382473960713,0.001690732675661731,16.274985051004606,473338.82,409865,0.8580927024751606,0.8516215896885069,16.274985051004606,0.9263215805405852,16.274985051004606,0.9175585799080883,101545669.7,0.2973017787506805
73,3679.2,73,0.015055062899909544,0.006034296960020269,0.0034150939189701744,0.0022690337395121682,0.001586636202961719,16.28344594650577,473332.76,409856.7,0.8582978019937043,0.8516119942713927,16.28344594650577,0.9257417825856948,16.283445946505765,0.9170302186061479,100558711.8,0.2973017787506805
72,3628.8,72,0.014763917403620007,0.005734534991991716,0.003357508306943216,0.0022444364621387555,0.0016133834755532842,16.27400525877163,473139.38,409774.16,0.8575133193406308,0.8512656999641963,16.27400525877163,0.9264432777591748,16.27400525877163,0.918410180524965,99586112.18,0.2973017787506805
71,3578.4,71,0.014597517348375595,0.005842175289348241,0.0032943535431731825,0.0022504140752059006,0.0015890379855306573,16.277393764411762,472928,409785.9,0.8572678927855825,0.8508800214822773,16.277393764411762,0.9193562993347065,16.27739376441177,0.9120302544710842,98122178.02,0.2973017787506805
70,3528,70,0.014750728221455522,0.005779977071301317,0.0033666038530135293,0.002160035495324997,0.0015842270332862768,16.27050477097123,472799.7,409793.28,0.85657946426174,0.8506448979591839,16.27050477097123,0.9201197355614742,16.27050477097123,0.9130005355964873,97004910.54,0.2966274172992852
69,3477.6,69,0.014404521896835236,0.005832066719139869,0.0033343382493185403,0.0021854454267243124,0.0015869108139023433,16.272460812285477,472693.62,409750.76,0.8563487611347846,0.8504479412817757,16.272460812285477,0.9212878072462745,16.272460812285473,0.9118696779952883,96097423.74,0.2973017787506805
68,3427.2,68,0.013973662450013887,0.005752999053959438,0.0033476270077069563,0.0022007806134311195,0.0015261839649783721,16.267017385766547,472344.88,409741.14,0.8554664380542192,0.8498230934479056,16.267017385766547,0.9170806708823197,16.267017385766543,0.90821145712268,94221183.82,0.2955034815469597
67,3376.8,67,0.014249373405422996,0.005798633047416214,0.0032498775587329206,0.0021488440686212597,0.0015642417426143165,16.268155844113586,472280.5,409721.58,0.8553613441731811,0.8497156462585032,16.268155844113586,0.9160875907281075,16.268155844113583,0.9055500608156983,93998367.96,0.29550348154695966
66,3326.4,66,0.01373090201104853,0.005501759878253684,0.003112786823020337,0.0021087227259396907,0.0015131954649812026,16.261838531176878,471942.56,409664.66,0.8545744797890924,0.8491020766201217,16.261838531176878,0.9152801630855456,16.261838531176878,0.9035119720639696,92516752.94,0.2925812485909135
65,3276,65,0.013796946968843033,0.005749888566990993,0.0032763370171677857,0.0022039458945919675,0.0015608231554192556,16.261579859953216,471990.94,409675.52,0.8545056261106585,0.8491810239885429,16.261579859953216,0.9168307289333023,16.261579859953216,0.9074418779644507,92016204.54,0.2903333770862625
64,3225.6,64,0.012884273628389125,0.005518973972102365,0.0030959262168747436,0.0020893866744171306,0.0014944066374588739,16.25169276900238,471697.26,409586.08,0.8534980997610527,0.8486531328320801,16.25169276900238,0.9160971521954258,16.25169276900238,0.9012529000329116,90507291.4,0.2860624212274257
63,3175.2,63,0.013369944585566616,0.005345505184028869,0.003104894579032796,0.0020663401032559587,0.001499832122655005,16.263063259621525,471605.14,409637.04,0.8536934287694095,0.8484895094880055,16.263063259621525,0.9133431071924951,16.26306325962153,0.9047040434776974,89380685.94,0.2860624212274257
62,3124.8,62,0.013197550151325373,0.005391522619563893,0.00308958144098798,0.0020540943418229218,0.0014934745766758564,16.251807041962888,471468.12,409623.14,0.8529425339366727,0.8482472968134622,16.251807041962888,0.9164695921881271,16.251807041962884,0.9071137262304186,88819102.76,0.2860624212274257
61,3074.4,61,0.013000634788951006,0.005293109395037231,0.0030138328799651807,0.001997188140042248,0.0014863246468287726,16.25918700792584,471191.82,409485.86,0.8527269872798136,0.8477544575725023,16.25918700792584,0.9147243309168307,16.25918700792584,0.8995779960976803,87221853.88,0.2860624212274257
60,3024,60,0.012774457598610017,0.005224791192411992,0.003032521081118329,0.001985772247687313,0.0014200267326959992,16.251703435249407,470989.74,409598.26,0.8519181730792111,0.8473709989258863,16.251703435249407,0.9082893341306775,16.25170343524941,0.8958998134425455,86542905.36,0.2860624212274257
