Optimas, 506(0 5 2 1 4 3 6), 3025(4 1 2 0 3 6 5), 1680(2 3 0 1 4 5 6), 2147(2 6 5 1 4 3 0)
H-Axis, Max distance, Ratio,Normal: 42 clusters,84 clusters,126 clusters,168 clusters,210 clusters,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
35,1764,35,12,21,26,22,22,27,4196,30983,3467,3503,26,28,25,43,4397,19
34,1713.6,34,12,19,21,29,28,25,4403,31083,3866,3803,24,28,25,39,4445,18
33,1663.2,33,11,19,19,21,25,30,4341,30953,3744,3604,25,27,25,40,4338,18
32,1612.8,32,11,18,23,21,24,52,4295,31021,3544,3523,24,27,25,40,4447,18
31,1562.4,31,11,19,19,20,21,26,4312,30894,3721,3627,24,27,25,39,4385,18
30,1512,30,11,19,19,21,22,25,4091,30710,3452,3295,24,27,26,39,4387,18
29,1461.6,29,12,27,18,44,22,48,4352,31408,3641,3637,24,27,25,40,4467,18
28,1411.2,28,12,18,25,22,28,26,4128,31299,3453,3406,24,27,25,39,4425,18
27,1360.8,27,15,21,19,21,24,25,4261,30751,3500,3416,25,27,25,39,4332,18
26,1310.4,26,13,19,19,20,21,25,4272,30613,3637,3500,25,27,25,69,4332,18
25,1260,25,19,19,20,20,21,42,4228,31027,3500,3485,32,28,36,42,4349,20
24,1209.6,24,12,19,19,21,21,25,4390,31292,3767,3694,24,27,25,39,4422,18
23,1159.2,23,13,18,21,21,26,25,4100,30765,3426,3369,26,28,25,39,4408,18
22,1108.8,22,11,19,19,21,21,25,4365,31046,3724,3686,24,28,25,40,4393,19
21,1058.4,21,15,18,75,21,22,25,4384,31049,3696,3602,31,100,26,38,4306,19
20,1008,20,12,21,42,41,22,26,4421,30815,3736,3741,24,27,25,38,4337,19
19,957.6,19,11,18,31,21,36,25,4035,30857,3481,3272,24,28,26,39,4240,18
18,907.2,18,11,20,19,20,23,28,4288,31242,3715,3570,24,28,25,39,4308,19
17,856.8,17,11,19,19,20,21,25,4075,30793,3536,3376,24,27,25,38,4267,18
16,806.4,16,11,18,18,21,21,25,4240,31157,3602,3623,24,27,25,39,4497,18
15,756,15,12,18,19,46,21,26,4343,30956,3779,3679,24,30,25,38,4318,18
14,705.6,14,16,22,20,23,22,27,4448,31060,3763,3712,106,27,28,41,4274,20
13,655.2,13,11,19,19,19,21,25,4230,31047,3616,3300,24,28,31,38,4218,18
12,604.8,12,11,18,25,20,21,25,4350,31378,3827,3517,24,27,25,40,4342,18
11,554.4,11,12,30,18,34,21,26,4016,30705,3546,3435,24,28,25,44,4262,18
10,504,10,11,19,21,21,21,25,4390,31114,3770,3673,29,27,25,38,4296,18
9,453.6,9,11,18,19,21,21,25,4383,31069,3837,3596,24,27,25,38,4331,18
8,403.2,8,12,19,20,24,24,31,4324,31015,3840,3620,24,27,25,38,4341,18
7,352.8,7,11,18,47,57,21,50,4176,30695,3574,3417,26,28,26,40,4269,19
6,302.4,6,12,20,19,21,21,25,4377,30625,3734,3597,24,29,25,39,4384,22
5,252,5,10,23,18,20,22,25,4169,30519,3616,3424,24,28,26,37,4335,18
4,201.6,4,12,38,39,22,23,25,4206,30279,3657,3395,28,27,25,37,4347,18
3,151.2,3,11,20,19,22,24,25,4102,30179,3704,3441,24,27,25,37,4342,18
2,100.8,2,12,18,18,22,21,25,4066,30258,3683,3352,24,27,25,37,4367,18
1,50.4,1,12,19,18,21,21,26,3938,29523,3586,3073,25,27,25,35,4224,18
