Optimas, 1(0 1 2 3 4 6 5)
H-Axis, Max distance, Ratio,Ours+D,Ours-D,Li et al.+D,Li et al.-D,Cheng+D,Cheng-D,Salleh et al.+D,Salleh et al.-D,Zhao et al.+D,Zhao et al.-D,Osuna Enciso et al.+D,Osuna Enciso et al.-D
100,5040,100,0.006513174375441234,0.02047778175597724,16.218082271364832,14.6804409868764,0.9139062339666275,0.9494293015332135,0.93338365729383,0.9504114792150243,142448728,105199768,0.29730177875068026,0.29730177875068026
99,4989.6,99,0.006759548020303195,0.019806460595934283,16.26284653760897,14.678603917229626,0.8842931504585628,0.9400627686840342,0.8862533692722377,0.967032967032967,148097048,110964328,0.29730177875068026,0.29730177875068026
98,4939.2,98,0.008315358663790719,0.014782420904869888,16.25896486108282,14.681432474382348,0.9091445811653383,0.9484343806459881,0.8781459351801566,0.9552366673805953,137416847,99800247,0.29730177875068026,0.29730177875068026
97,4888.8,97,0.008297383994248106,0.01613284202569917,16.18812152840597,14.65700533263519,0.9298868718758236,0.9235711566247419,0.927807486631017,0.9522388059701493,139924292,102600612,0.29730177875068026,0.29730177875068026
96,4838.4,96,0.008408343012001548,0.018931633956264498,16.247332489371935,14.643552850163989,0.928004826254824,0.9668810456609932,0.9561335403726682,0.9302422723475358,145864276,107003316,0.29730177875068026,0.29730177875068026
95,4788,95,0.00820681931309109,0.016084211462362726,16.233747658841576,14.648653781355183,0.9094957816470953,0.9440212984812758,0.8878333942272569,0.9281537176274018,137849523,101741163,0.29730177875068026,0.29730177875068026
94,4737.6,94,0.008372739339638294,0.020369729812829085,16.24682170144028,14.650581669387972,0.8812423695234203,0.9401347491127343,0.86318407960199,0.9467787114845939,139943504,101557344,0.29730177875068026,0.29730177875068026
93,4687.2,93,0.008275606990763787,0.019529042386185247,16.21888235091218,14.671747528219681,0.9386425987579995,0.9415160842537281,0.9167140959969665,0.9204498125780926,139347390,102295870,0.29730177875068026,0.29730177875068026
92,4636.8,92,0.008363406338145014,0.01597649641867329,16.277702610950808,14.623796068395349,0.8944003341144822,0.9531067309452633,0.8547008547008553,0.9379339364611825,138976897,100682297,0.29730177875068026,0.29730177875068026
91,4586.4,91,0.008368937005696589,0.015894386855271208,16.25669208489966,14.655948854838362,0.9177159617930238,0.9462733182417943,0.9203370356185382,0.9329962073324907,138680302,100315022,0.29730177875068026,0.29730177875068026
90,4536,90,0.008553523035230352,0.016240871348539423,16.272874617422836,14.622686650372062,0.9003512467298214,0.9552269281557161,0.8826594788858946,0.95606094060499,137454039,96533759,0.29730177875068026,0.29730177875068026
89,4485.6,89,0.00855628836900614,0.02150100781053162,16.261671890741876,14.56366484411217,0.8950666567640828,0.9221592677768077,0.9136125654450268,0.9053803339517627,139307384,98333624,0.29730177875068026,0.29730177875068026
