Optimas, 506(0 1 2 3 8 5 4 7 6 9), 3025(0 1 2 7 4 5 3 6 9 8), 1680(0 1 2 5 6 3 4 7 8 9), 2147(0 1 2 5 9 8 4 7 6 3)
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
34,1233792,34,14,0,0,0,0,43,6356,58588,5745,5155,32,52,33,54,7867,105
33,1197504,33,15,0,0,0,0,33,6356,58490,5668,5362,37,40,33,55,7531,26
32,1161216,32,14,0,0,0,0,89,6096,58161,5545,5127,44,37,32,55,7316,26
31,1124928,31,15,0,0,0,0,33,6112,58327,5745,5220,44,36,32,53,7380,26
30,1088640,30,14,0,0,0,0,38,6203,58320,5543,5283,144,38,76,54,7430,36
29,1052352,29,14,0,0,0,0,35,5961,57516,5481,5126,33,36,34,53,6928,30
28,1016064,28,14,0,0,0,0,34,6412,58303,5637,5549,34,38,33,52,7413,25
27,979776,27,14,0,0,0,0,44,6029,57776,5516,5153,32,39,32,69,7107,42
26,943488,26,18,0,0,0,0,34,6124,58046,5492,5179,40,40,42,52,7226,29
25,907200,25,13,0,0,0,0,36,6148,57920,5585,5289,36,40,32,52,7250,25
24,870912,24,20,0,0,0,0,33,6240,57828,5702,5383,33,48,33,54,7306,38
23,834624,23,14,0,0,0,0,33,6203,57571,5524,5304,34,37,32,52,7200,24
22,798336,22,14,0,0,0,0,33,6028,57414,5493,5074,33,36,35,59,7058,26
21,762048,21,15,0,0,0,0,33,6230,57979,5446,5328,32,45,32,53,7192,25
20,725760,20,15,0,0,0,0,62,6179,57589,5498,5340,46,39,32,53,7160,26
19,689472,19,49,0,0,0,0,34,6370,57898,5512,5458,33,38,32,52,7190,24
18,653184,18,15,0,0,0,0,34,6199,57668,5560,5471,36,38,33,55,7116,24
17,616896,17,15,0,0,0,0,36,6346,57933,5465,5338,34,37,32,55,7095,27
16,580608,16,15,0,0,0,0,44,6123,57373,5524,5358,36,36,32,52,7091,24
15,544320,15,13,0,0,0,0,36,5892,57377,5443,5188,33,37,32,52,6913,24
14,508032,14,15,0,0,0,0,36,6120,58391,5592,5159,33,49,35,61,7246,44
13,471744,13,14,0,0,0,0,33,6071,57768,5554,5126,37,54,33,71,7050,52
12,435456,12,13,0,0,0,0,40,5750,56884,5456,4864,34,60,42,60,6882,74
11,399168,11,15,0,0,0,0,33,5653,56685,5428,4721,32,37,32,64,6815,24
10,362880,10,14,0,0,0,0,37,5564,56622,5484,4321,34,36,32,53,6707,40
9,326592,9,13,0,0,0,0,35,5480,57056,5242,4437,115,40,46,108,6557,68
8,290304,8,31,0,0,0,0,37,5500,56620,5266,4381,39,52,35,59,6502,47
7,254016,7,13,0,0,0,0,37,5776,56677,5367,4550,51,42,32,60,6502,27
6,217728,6,50,0,0,0,0,34,6125,57187,5994,5141,34,55,33,109,6950,28
5,181440,5,15,0,0,0,0,33,5342,55515,5198,4274,72,36,32,63,5921,30
4,145152,4,15,0,0,0,0,36,5522,55417,5152,4464,34,123,36,51,5669,28
3,108864,3,14,0,0,0,0,33,5559,54846,5107,4645,35,36,32,56,5184,25
2,72576,2,18,0,0,0,0,33,5646,54390,4894,4838,33,38,32,50,4588,24
1,36288,1,13,0,0,0,0,52,4976,51280,4899,3987,33,36,32,49,4456,24
