Optimas, 129000(0 4 2 7 3 1 5 6 8 9), 135650(0 4 3 9 5 6 1 7 2 8), 486002(1 4 0 6 2 3 5 8 7 9), 324738(0 9 1 5 2 3 8 4 6 7), 1120434(3 0 8 4 1 9 7 2 5 6), 1699998(4 7 1 3 0 8 5 2 6 9), 2117037(5 8 4 0 2 9 7 3 6 1), 1406637(3 8 9 0 5 7 6 2 4 1), 1204758(3 2 9 0 4 7 5 1 6 8), 258085(0 7 4 2 5 8 6 1 9 3), 305111(0 8 5 4 7 3 9 6 2 1), 1178840(3 2 1 9 4 7 5 6 0 8), 2562143(7 0 5 3 6 1 9 8 4 2), 1329233(3 6 9 7 0 8 4 5 2 1), 3119554(8 5 2 9 6 1 3 7 0 4), 3077106(8 4 2 5 7 3 9 0 1 6), 422700(1 2 5 9 0 6 7 3 4 8), 372839(1 0 3 9 7 8 6 5 4 2), 813907(2 3 1 6 5 7 9 0 8 4), 1689280(4 6 9 1 2 3 7 8 0 5)
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Dummy5,Dummy6,Dummy7,Dummy8,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
37,1342656,37,66,0,0,0,0,182,0,0,0,0,176,211,186,301,141432,154
36,1306368,36,65,0,0,0,0,182,0,0,0,0,178,209,187,295,140773,132
35,1270080,35,63,0,0,0,0,183,0,0,0,0,180,220,191,318,142560,132
34,1233792,34,98,0,0,0,0,193,0,0,0,0,180,212,191,292,141956,130
33,1197504,33,64,0,0,0,0,188,0,0,0,0,192,215,194,302,141724,136
32,1161216,32,62,0,0,0,0,190,0,0,0,0,175,221,190,293,142752,129
31,1124928,31,62,0,0,0,0,181,0,0,0,0,177,211,187,292,143866,133
30,1088640,30,61,0,0,0,0,192,0,0,0,0,181,215,191,296,144515,140
29,1052352,29,110,0,0,0,0,256,0,0,0,0,221,270,212,318,147035,163
28,1016064,28,61,0,0,0,0,181,0,0,0,0,174,208,188,290,142877,130
27,979776,27,61,0,0,0,0,199,0,0,0,0,184,212,191,323,143256,132
26,943488,26,77,0,0,0,0,217,0,0,0,0,207,237,203,312,143755,133
25,907200,25,92,0,0,0,0,195,0,0,0,0,199,237,204,291,143793,132
24,870912,24,72,0,0,0,0,180,0,0,0,0,189,225,188,289,142180,133
23,834624,23,62,0,0,0,0,184,0,0,0,0,179,214,190,297,141312,133
22,798336,22,73,0,0,0,0,184,0,0,0,0,178,213,207,293,140766,155
21,762048,21,66,0,0,0,0,190,0,0,0,0,183,245,191,297,140395,134
20,725760,20,74,0,0,0,0,186,0,0,0,0,183,227,195,288,140977,131
19,689472,19,63,0,0,0,0,181,0,0,0,0,176,218,190,317,140935,131
18,653184,18,76,0,0,0,0,182,0,0,0,0,180,215,193,286,140298,147
17,616896,17,60,0,0,0,0,182,0,0,0,0,181,212,201,331,140282,132
16,580608,16,69,0,0,0,0,178,0,0,0,0,182,212,190,298,140239,131
15,544320,15,68,0,0,0,0,181,0,0,0,0,179,212,188,299,139930,130
14,508032,14,66,0,0,0,0,190,0,0,0,0,181,211,197,296,139270,129
13,471744,13,60,0,0,0,0,185,0,0,0,0,176,209,189,289,139113,130
12,435456,12,66,0,0,0,0,180,0,0,0,0,177,212,185,286,139474,150
11,399168,11,59,0,0,0,0,175,0,0,0,0,173,220,190,287,138616,135
10,362880,10,65,0,0,0,0,181,0,0,0,0,175,215,189,288,138750,134
9,326592,9,103,0,0,0,0,181,0,0,0,0,174,206,183,315,138444,130
8,290304,8,58,0,0,0,0,190,0,0,0,0,181,218,190,294,137751,134
7,254016,7,69,0,0,0,0,193,0,0,0,0,180,211,190,309,139192,137
6,217728,6,56,0,0,0,0,181,0,0,0,0,173,207,184,283,138216,132
5,181440,5,99,0,0,0,0,188,0,0,0,0,189,210,186,287,138398,132
4,145152,4,64,0,0,0,0,182,0,0,0,0,184,213,189,346,138488,134
3,108864,3,59,0,0,0,0,180,0,0,0,0,181,209,187,281,138566,132
2,72576,2,96,0,0,0,0,185,0,0,0,0,186,245,189,280,140399,137
1,36288,1,70,0,0,0,0,195,0,0,0,0,184,215,191,341,139886,160
