Optimas, 506(0 5 2 1 4 3 6), 3025(4 1 2 0 3 6 5), 1680(2 3 0 1 4 5 6), 2147(2 6 5 1 4 3 0)
H-Axis, Max distance, Ratio,Ours+D,Ours-D,Li et al.+D,Li et al.-D,Cheng+D,Cheng-D,Salleh et al.+D,Salleh et al.-D,Zhao et al.+D,Zhao et al.-D,Osuna Enciso et al.+D,Osuna Enciso et al.-D
100,5040,100,0.01817977190876351,0.01089739031501102,15.071188318677944,3.6624498146848046,0.9623270667490348,0.9322143810795339,0.958471760797342,0.9366018596787827,114876817,6190395,0.29730177875068026,0.29730177875068026
99,4989.6,99,0.017030837676201088,0.01073858114674441,15.07883135790517,3.661508623198969,0.9460933992175243,0.8497494955117946,0.953370072064434,0.8727556596409052,113233519,6949265,0.29730177875068026,0.29730177875068026
98,4939.2,98,0.011828885400313974,0.01490047871000252,15.049158717942621,3.641905386281842,0.9625320438126276,0.9396607958251789,0.9468678933223067,0.9529512403763905,108248200,6281184,0.29730177875068026,0.29730177875068026
97,4888.8,97,0.017832774135295142,0.012305673019958732,15.069363762135376,3.6131321008937514,0.9098330470295329,0.9180402930402938,0.9215003074400494,0.9405501330967165,112848312,6881063,0.29730177875068026,0.29730177875068026
96,4838.4,96,0.024997300507504584,0.011865394305870493,15.069401805651216,3.6578722465858853,0.9186515051955114,0.8830033660284486,0.911871227364185,0.8993506493506492,112131898,6138595,0.29730177875068026,0.29730177875068026
95,4788,95,0.016117204037663077,0.014340685769257198,15.075664318379477,3.643288303543445,0.9471236112115299,0.9302352266207692,0.9660265878877403,0.9345955249569705,110051155,6250346,0.29730177875068026,0.29730177875068026
94,4737.6,94,0.013275231529199783,0.009910136894263876,15.054462566719536,3.653475624592317,0.9362141644010178,0.8916073709177162,0.9184253246753242,0.8540202966432479,108144901,6036851,0.29730177875068026,0.29730177875068026
93,4687.2,93,0.011594320267789655,0.012050779907922768,15.08530624462638,3.649699384891565,0.949608803672259,0.9118711748022102,0.931748309079729,0.9142857142857143,103456381,6034697,0.29730177875068026,0.29730177875068026
92,4636.8,92,0.015267583641643798,0.01024907317424324,15.057675933101683,3.6472176127188205,0.9289631510698095,0.9155282757588229,0.9083938660209852,0.9159663865546215,98914158,5791756,0.29730177875068026,0.29730177875068026
91,4586.4,91,0.020528205063119778,0.011419753086419751,15.086450195359989,3.650060757682772,0.9429508271638742,0.8960972017673043,0.9455587392550141,0.8892455858747992,105100880,6091059,0.29730177875068026,0.29730177875068026
90,4536,90,0.016731016731016735,0.010216079377077109,15.088343166445222,3.6603333993601725,0.9419458765829039,0.939854682454251,0.9176755447941888,0.9382924767540152,104575320,6128363,0.29730177875068026,0.29730177875068026
89,4485.6,89,0.013830399884821654,0.010063108135670492,15.087652372975137,3.6575601587741886,0.9088836460653074,0.9175176747839747,0.901883830455259,0.9175510204081634,101870501,5952844,0.29730177875068026,0.29730177875068026
88,4435.2,88,0.01358133956530458,0.014393693985530724,15.066295081907667,3.6577067197246946,0.9397266851212797,0.9277935875545434,0.9242734343020881,0.912972085385878,97823204,5804122,0.29730177875068026,0.29730177875068026
87,4384.8,87,0.015179317340971474,0.013971233262161311,15.070591369403832,3.6129564543417807,0.9418625360191052,0.9430650349101743,0.9463229078613694,0.9251700680272108,105125588,6294567,0.29730177875068026,0.29730177875068026
86,4334.4,86,0.01541868741116861,0.00991793542813951,15.05360089170219,3.637525547407877,0.9603516705162785,0.9172308733920105,0.9593047901653243,0.9235880398671095,97112574,5999473,0.29730177875068026,0.29730177875068026
85,4284,85,0.015039085809762502,0.011368102796674226,15.079134273377646,3.6533692884237086,0.9447784692364538,0.8955619342018108,0.9346177495388399,0.8924558587479937,98853766,5451848,0.29730177875068026,0.2860624212274257
84,4233.6,84,0.015339575489951428,0.01531733572549899,14.969594984179944,3.6118498286669607,0.8972845786824813,0.8911277039639842,0.9174423310400647,0.8942695722356737,97705178,5513813,0.29730177875068026,0.2860624212274257
83,4183.2,83,0.013241010689990276,0.009964501673685346,15.082719241039106,3.6466579717606167,0.9081875429671414,0.9113621956221803,0.9134139092530215,0.9119601328903657,91305491,5197465,0.29730177875068026,0.2860624212274257
82,4132.8,82,0.014255344995140914,0.01230018756473783,15.08005348780176,3.6476544170082996,0.9329520641708781,0.9277904761904762,0.9274786409696001,0.935064935064935,93644679,5693054,0.29730177875068026,0.2860624212274257
81,4082.4,81,0.013703780832060716,0.014550264550264551,15.070920503683132,3.6366556497778406,0.9091175111658734,0.9366037880530632,0.9448979591836733,0.945993031358885,93966908,5692636,0.29730177875068026,0.2860624212274257
80,4032,80,0.013273790241720271,0.009656142092095194,15.08467779867597,3.6009126026930396,0.9192697768762692,0.8786269123719788,0.919237012987013,0.8432432432432425,88447315,5099285,0.29730177875068026,0.2860624212274257
